#,NAME,NAME ARABIC,TYPE EN,TYPE AR,SUBTYPE EN,SUBTYPE AR,BLOCK,POINT_X_Longitude,POINT_Y_Latitude
33,AL RAWABI KINDERGARTEN,روضة الروابي,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,422,50.53088151,26.2206468699999
34,AL RAYYAN KINDERGARTEN,روضة الريان,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,226,50.6118644,26.27721371
35,AL SALAM KINDERGARTEN,روضة السلام,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,324,50.6091543,26.21776608
36,AL SANABEL KINDERGARTEN,روضة السنابل,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,342,50.6019994299999,26.2062308199999
37,AL SANABEL SCHOOL,مدرسة السنابل,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,342,50.60201242,26.20604256
38,AL SHOROOQ KINDERGARTEN,روضة الشروق,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,914,50.55208332,26.1303180799999
39,AL WAFA KINDERGARTEN,روضة الوفاء النموذجية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,202,50.61986334,26.25983631
40,AL WALAA KINDERGARTEN,روضة الولاء,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,541,50.45837222,26.2087717699999
41,AL YAQEEN KINDERGARTEN,روضة اليقين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,937,50.5725530599999,26.13959347
42,AL ZENJ NEW KINDERGARTEN,روضة الزنج الجديدة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,330,50.5742962799999,26.2096672899999
43,ALAALDIN KINDERGARTEN,روضة علاء الدين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,729,50.56672957,26.16950735
44,ALAHAD KINDERGARTEN,روضة العهد,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,929,50.57951914,26.12041933
45,ALANJAAL KINDERGARTEN,روضة الانجال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,914,50.54829491,26.13079613
46,ALBARAEM ALSAGHEERA KINDERGARTEN,روضة البراعم الصغيرة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1206,50.50260715,26.1267165599999
47,ALBASHAYER KINDERGARTEN,روضة البشائر,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,244,50.65236866,26.24703367
48,ALBATOOL KINDERGARTEN,روضة البتول,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,606,50.60961503,26.16361329
49,ALBAYADER KINDERGARTEN,روضة البيادر,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1204,50.4992943,26.1318965799999
50,ALDUAA KINDERGARTEN,روضة الدعاء,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,435,50.52743757,26.21414965
51,ALFURQAN KINDERGARTEN,روضة الفرقان,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,935,50.57315238,26.133298
52,ALGHADEER KINDERGARTEN,روضة الغدير,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,422,50.52861918,26.21870874
53,ALGHADEER KINDERGARTEN,روضة الغدير,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,721,50.56140177,26.1781145399999
54,ALHANEEN KINDERGARTEN,روضة الحنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,808,50.54518678,26.17874711
55,ALHUDA KINDERGARTEN,روضة الهدى,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,913,50.5610880899999,26.13046997
56,ALJINAN KINDERGARTEN,روضة الجنان,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1203,50.49595483,26.1378502899999
57,ALL CHILDREN KINDERGARTEN,روضة كل الاطفال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,332,50.5836736099999,26.2080831399999
58,ALMAHA KINDERGARTEN,روضة المها,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1209,50.5048521399999,26.1126948
59,ALNAHDAH KINDERGARTEN,روضة النهضة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,925,50.57365094,26.13069227
60,ALSHAMOUSE KINDERGARTEN,روضة الشموس,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,646,50.5859575599999,26.13993087
61,ALSIMAT KINDERGARTEN,روضة السمات,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,540,50.4592699399999,26.21808966
62,ALTOFOLAH ALSAEEDAH KINDERGARTEN,روضة الطفولة السعيدة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,915,50.5554469699999,26.1380549999999
63,ALWAHA FIRST STEPS,روضة الخطوة الأولى,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,809,50.54964798,26.1690607399999
64,ANWAR AL GHADEER KINDERGARTEN,روضة أنوار الغدير,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,426,50.5243971499999,26.21831311
65,ATFAL ALMOHANNA KINDERGARTEN,روضة اطفال المهنا,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,734,50.5185374499999,26.1523939799999
66,ATFAL AWAL KINDERGARTEN,روضة أطفال أوال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,244,50.6439824699999,26.25350162
67,BANI JAMRAH KINDERGARTEN,روضة بني جمرة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,541,50.45869881,26.21142327
68,BEES KINGDOM KINDERGARTEN,روضة مملكة النحل,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,752,50.5057549599999,26.1487828399999
69,BIRDS KINGDOM KINDERGARTEN,روضة طيور المملكة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,228,50.6029765199999,26.27366258
70,CAPITAL KINDERGARTEN,روضة العاصمة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,729,50.56582153,26.1699149099999
71,CARE KINDERGARTEN,روضة الرعاية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1214,50.51004341,26.07131289
72,CHILD HOUSE KINDERGARTEN,روضة دار الطفل,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,340,50.60174622,26.2133099399999
73,CHILD MODEL KINDERGARTEN,روضة الاطفال النموذجية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,421,50.54198319,26.2186700299999
74,CHILDHOOD DREAMS KINDERGARTEN,روضة أحلام الطفولة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,1022,50.4788581199999,26.1277981399999
75,CHILDREN ISLAND KINDERGARTEN,روضة جزيرة الاطفال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,216,50.61341652,26.24278601
76,CHILDRENS HOME KINDERGARTEN,روضة دار الاطفال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,557,50.4587228999999,26.20361918
77,CORNER KINDERGARTEN,روضة زاوية الأطفال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,913,50.56140665,26.1327655499999
78,DUNYA ALATFAL KINDERGARTEN,روضة دنيا الاطفال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,807,50.54420574,26.1714261599999
79,EARLY EDUCATION KINDERGARTEN,روضة التعليم المبكر,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,915,50.5532450199999,26.1351962399999
80,ELEFRIENDS PRESCHOOL,روضة إليفرندز,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,517,50.4916387999999,26.1967843
81,FRIENDSHIP KINDERGARTEN FOR BLIND CHILDREN,روضة الصداقة للأطفال المكفوفين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,941,50.5676828499999,26.15108147
82,FUTURE GENERATION KINDERGARTEN,حضانة أجيال المستقبل ,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,207,50.60703663,26.25873704
83,FUTURE KINDERGARTEN,روضة المستقبل,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,336,50.59022532,26.2127599999999
84,GULF PEARL HOTEL,روضة لؤلؤة الخليج,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,364,50.5527132599999,26.2021472799999
85,JANA KINDERGARTEN,روضة جنى,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,450,50.51267388,26.2210736
86,JANAT ALATFAL KINDERGARTEN,روضة جنة الاطفال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,802,50.54117345,26.18386221
87,JIDHAFS KINDERGARTEN,روضة جدحفص,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,425,50.5394786399999,26.2144008299999
88,KIDS 'R' KIDS KINDERGARTEN,روضة كيدز آر كيدز,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,KINDERGARTEN,رياض الأطفال,941,50.5661278099999,26.15278902
