geo_id,year,deped_id,total_teacher_male,total_teacher_female,total_teachers,total_student_male,total_student_female,total_student_enrollment
HND-000195,2010,10300003,0,1,1,23.0,27.0,50.0
HND-000196,2010,10300004,0,1,1,22.0,11.0,33.0
HND-000197,2010,10300005,0,1,1,20.0,8.0,28.0
HND-000198,2010,10300006,1,1,2,22.0,22.0,44.0
HND-000199,2010,10300007,1,0,1,17.0,15.0,32.0
HND-000200,2010,10300008,1,2,3,39.0,37.0,76.0
HND-000201,2010,10300009,2,0,2,18.0,9.0,27.0
HND-000202,2010,10300010,1,1,2,37.0,40.0,77.0
HND-000203,2010,10300011,2,2,4,25.0,24.0,49.0
HND-000204,2010,10300012,0,2,2,31.0,32.0,63.0
HND-000205,2010,10300013,2,4,6,47.0,39.0,86.0
HND-000206,2010,10300014,1,1,2,20.0,22.0,42.0
HND-000207,2010,10300015,0,2,2,28.0,24.0,52.0
HND-000208,2010,10300016,1,0,1,17.0,10.0,27.0
HND-000209,2010,10300017,0,2,2,31.0,28.0,59.0
HND-000210,2010,10300018,0,13,13,142.0,144.0,286.0
HND-000211,2010,10300019,0,2,2,29.0,25.0,54.0
HND-000212,2010,10300020,1,7,8,85.0,91.0,176.0
HND-000213,2010,10300021,2,4,6,55.0,77.0,132.0
HND-000214,2010,10300022,0,1,1,15.0,4.0,19.0
HND-000215,2010,10300023,1,1,2,26.0,26.0,52.0
HND-000216,2010,10300024,1,5,6,52.0,73.0,125.0
HND-000217,2010,10300025,0,2,2,8.0,7.0,15.0
HND-000218,2010,10300026,3,9,12,128.0,137.0,265.0
HND-000219,2010,10300027,0,1,1,11.0,16.0,27.0
HND-000220,2010,10300028,2,0,2,30.0,19.0,49.0
HND-000221,2010,10300029,4,8,12,80.0,66.0,146.0
HND-000222,2010,10300030,0,1,1,8.0,8.0,16.0
HND-000223,2010,10300031,4,10,14,84.0,81.0,165.0
HND-000224,2010,10300032,3,8,11,136.0,145.0,281.0
HND-000225,2010,10300033,2,2,4,22.0,16.0,38.0
HND-000226,2010,10300034,0,6,6,64.0,65.0,129.0
HND-000227,2010,10300035,1,1,2,24.0,17.0,41.0
HND-000228,2010,10300036,1,1,2,30.0,23.0,53.0
HND-000229,2010,10300037,0,1,1,7.0,12.0,19.0
HND-000230,2010,10300038,0,4,4,28.0,26.0,54.0
HND-000231,2010,10300039,1,0,1,19.0,11.0,30.0
HND-000232,2010,10300040,1,0,1,5.0,5.0,10.0
HND-000239,2010,10300047,0,4,4,45.0,47.0,92.0
HND-000240,2010,10300050,2,0,2,23.0,20.0,43.0
HND-000241,2010,10300051,1,1,2,17.0,15.0,32.0
HND-000242,2010,10300052,0,2,2,13.0,14.0,27.0
HND-000243,2010,10300053,0,1,1,16.0,10.0,26.0
HND-000246,2010,10300056,0,2,2,25.0,17.0,42.0
HND-000248,2010,10300071,1,0,1,8.0,13.0,21.0
HND-000249,2010,10300074,1,0,1,14.0,12.0,26.0
HND-000251,2010,10300090,0,1,1,8.0,8.0,16.0
HND-000252,2010,10300099,0,2,2,30.0,28.0,58.0
HND-000254,2010,10400002,0,2,2,25.0,32.0,57.0
HND-000255,2010,10400003,0,1,1,20.0,18.0,38.0
HND-000256,2010,10400004,1,0,1,10.0,13.0,23.0
HND-000257,2010,10400005,0,2,2,22.0,27.0,49.0
HND-000258,2010,10400006,1,0,1,16.0,11.0,27.0
HND-000259,2010,10400007,0,3,3,53.0,56.0,109.0
HND-000260,2010,10400008,1,8,9,80.0,94.0,174.0
HND-000261,2010,10400009,0,2,2,29.0,29.0,58.0
HND-000262,2010,10400010,0,16,16,157.0,143.0,300.0
HND-000263,2010,10400011,3,10,13,166.0,178.0,344.0
HND-000264,2010,10400012,0,1,1,16.0,15.0,31.0
HND-000265,2010,10400013,4,16,20,258.0,240.0,498.0
HND-000266,2010,10400014,1,2,3,27.0,47.0,74.0
HND-000267,2010,10400015,2,9,11,106.0,112.0,218.0
HND-000268,2010,10400016,1,9,10,117.0,98.0,215.0
HND-000269,2010,10400017,2,1,3,58.0,61.0,119.0
HND-000270,2010,10400018,0,1,1,25.0,20.0,45.0
HND-000271,2010,10400019,0,3,3,38.0,41.0,79.0
HND-000272,2010,10400020,0,3,3,45.0,46.0,91.0
HND-000273,2010,10400021,1,0,1,22.0,15.0,37.0
HND-000274,2010,10400022,0,2,2,26.0,27.0,53.0
HND-000275,2010,10400023,2,5,7,70.0,83.0,153.0
HND-000276,2010,10400024,0,2,2,29.0,25.0,54.0
HND-000277,2010,10400025,1,2,3,49.0,50.0,99.0
HND-000278,2010,10400026,1,1,2,33.0,33.0,66.0
HND-000279,2010,10400027,1,1,2,30.0,20.0,50.0
HND-000280,2010,10400028,0,1,1,17.0,10.0,27.0
HND-000281,2010,10400029,0,2,2,35.0,23.0,58.0
HND-000282,2010,10400030,0,1,1,14.0,9.0,23.0
HND-000283,2010,10400031,0,1,1,10.0,15.0,25.0
HND-000284,2010,10400032,1,1,2,39.0,38.0,77.0
HND-000285,2010,10400033,0,2,2,22.0,26.0,48.0
HND-000286,2010,10400034,0,2,2,42.0,35.0,77.0
HND-000287,2010,10400035,1,1,2,34.0,48.0,82.0
HND-000288,2010,10400036,1,1,2,36.0,43.0,79.0
HND-000289,2010,10400037,1,4,5,67.0,53.0,120.0
HND-000290,2010,10400038,0,1,1,17.0,13.0,30.0
HND-000291,2010,10400039,0,1,1,16.0,17.0,33.0
HND-000292,2010,10400040,0,1,1,46.0,43.0,89.0
HND-000293,2010,10400041,5,6,11,148.0,164.0,312.0
HND-000294,2010,10400042,1,0,1,13.0,19.0,32.0
HND-000295,2010,10400043,1,0,1,14.0,18.0,32.0
HND-000296,2010,10400044,1,1,2,33.0,17.0,50.0
HND-000297,2010,10400045,0,4,4,34.0,27.0,61.0
HND-000298,2010,10400046,0,1,1,8.0,13.0,21.0
HND-000299,2010,10400047,1,0,1,15.0,5.0,20.0
HND-000300,2010,10400048,0,2,2,26.0,26.0,52.0
HND-000301,2010,10400049,0,1,1,16.0,9.0,25.0
HND-000302,2010,10400050,0,1,1,16.0,16.0,32.0
HND-000303,2010,10400052,0,3,3,52.0,66.0,118.0
HND-000304,2010,10400053,0,1,1,8.0,10.0,18.0
HND-000305,2010,10400054,1,1,2,30.0,22.0,52.0
HND-000306,2010,10400055,1,0,1,18.0,9.0,27.0
HND-000307,2010,10400056,1,1,2,30.0,34.0,64.0
HND-000308,2010,10400057,0,1,1,26.0,22.0,48.0
HND-000309,2010,10400058,1,1,2,32.0,47.0,79.0
HND-000310,2010,10400059,0,2,2,33.0,32.0,65.0
HND-000311,2010,10400060,0,1,1,12.0,17.0,29.0
HND-000312,2010,10400062,0,1,1,16.0,9.0,25.0
HND-000313,2010,10400063,0,1,1,19.0,15.0,34.0
HND-000314,2010,10400065,1,2,3,48.0,54.0,102.0
HND-000315,2010,10400066,3,3,6,94.0,118.0,212.0
HND-000316,2010,10400067,4,10,14,165.0,166.0,331.0
HND-000317,2010,10400068,0,2,2,32.0,27.0,59.0
HND-000318,2010,10400069,2,4,6,73.0,69.0,142.0
HND-000330,2010,10400088,1,1,2,21.0,24.0,45.0
HND-000331,2010,10400089,0,1,1,10.0,5.0,15.0
HND-000333,2010,10400094,0,1,1,14.0,16.0,30.0
HND-000334,2010,10400103,1,0,1,13.0,8.0,21.0
HND-000335,2010,10400104,0,1,1,9.0,6.0,15.0
HND-000336,2010,10400105,0,1,1,4.0,12.0,16.0
HND-000337,2010,10400106,1,0,1,16.0,6.0,22.0
HND-000338,2010,10400107,0,1,1,8.0,9.0,17.0
HND-000339,2010,10400108,1,1,2,25.0,26.0,51.0
HND-000340,2010,10400109,0,1,1,8.0,7.0,15.0
HND-000341,2010,10400110,1,0,1,10.0,5.0,15.0
HND-000342,2010,10400112,1,1,2,39.0,35.0,74.0
HND-000358,2010,10400155,0,1,1,17.0,13.0,30.0
HND-000359,2010,10400156,0,1,1,7.0,6.0,13.0
HND-000360,2010,10400159,0,1,1,10.0,17.0,27.0
HND-000361,2010,10400160,0,1,1,11.0,14.0,25.0
