District,Zone,Geographical Region,Development Region,School Number,School Code,Name of School,ENGLISH,NEPALI,MATHS,SCIENCE,SOCIAL STUDIES,HEALTH POPULATION AND ENVIRONMENT,TAP,SAP,DISTINCTION,FIRST DIVISION,SECOND DIVISION,THIRD DIVISION,PASS,FAIL,PASS PERCENT
Taplejung,Mechi,Mountain,Eastern,1,1001,BALSUBODHINI SAN MA VI MEDIBUNG PHUNGLIN,16.2,51.5,21.8,25.5,30.8,33.1,60,60,0,2,7,0,9,51,15.0
Taplejung,Mechi,Mountain,Eastern,2,1002,BHANUJAN MA VI AMBITAR,17.3,46.5,25.3,23.5,38.2,39.2,116,115,0,5,16,0,21,94,18.3
Taplejung,Mechi,Mountain,Eastern,3,1003,MOTI MA VI KHOKLING,16.2,48.5,34.2,31.0,30.4,42.4,30,30,0,0,2,0,2,28,6.7
Taplejung,Mechi,Mountain,Eastern,4,1004,SINAM MA VI SINAM,28.7,41.6,41.2,36.9,41.4,48.2,76,75,0,12,46,0,58,17,77.3
Taplejung,Mechi,Mountain,Eastern,5,1005,GANESH MA VI KHEWANG,23.3,44.1,31.7,28.0,43.6,35.0,27,27,0,2,7,0,9,18,33.3
Taplejung,Mechi,Mountain,Eastern,6,1006,THECHAMBU MA VI THECHAMBU,13.3,39.7,36.6,27.8,38.8,33.1,43,43,0,2,3,0,5,38,11.6
Taplejung,Mechi,Mountain,Eastern,7,1007,MAIWAKHOLA MA VI TEMBE,15.0,37.8,24.3,28.5,37.4,34.0,62,62,0,2,6,0,8,54,12.9
Taplejung,Mechi,Mountain,Eastern,8,1008,PRITHVI MA VI KHAMLUNG,21.7,47.4,44.5,35.0,32.9,39.5,15,15,0,0,7,1,8,7,53.3
Taplejung,Mechi,Mountain,Eastern,9,1009,BHANJYANG MA VI LIMBUDIN,23.7,38.1,39.1,35.1,35.9,43.3,89,88,0,8,34,1,43,45,48.9
Taplejung,Mechi,Mountain,Eastern,10,1010,NARAYANI MA VI SANGHU,12.9,34.1,23.5,27.7,34.9,34.2,35,35,0,0,3,0,3,32,8.6
Taplejung,Mechi,Mountain,Eastern,11,1011,DURGA MA VI PHULBARI,21.8,47.9,40.3,29.4,33.7,36.7,27,27,0,1,7,2,10,17,37.0
Taplejung,Mechi,Mountain,Eastern,12,1012,SARASWATI MA VI HANGPANG,23.3,41.6,32.4,28.5,38.2,36.2,31,31,0,0,11,4,15,16,48.4
Taplejung,Mechi,Mountain,Eastern,13,1013,JANATA MA VI HANGDEWA,17.8,43.8,30.6,23.5,29.8,35.6,52,52,0,2,10,0,12,40,23.1
Taplejung,Mechi,Mountain,Eastern,14,1014,SARASWATI MA VI LELEP,26.6,54.0,37.1,32.1,35.3,40.3,14,14,0,2,5,1,8,6,57.1
Taplejung,Mechi,Mountain,Eastern,15,1015,SARASWATI MA VI SIKAICHA,15.2,38.1,32.3,25.6,32.3,31.2,32,32,0,2,1,2,5,27,15.6
Taplejung,Mechi,Mountain,Eastern,16,1016,SANWA MA VI SANWA MEWAKHOLA,20.8,46.5,34.3,34.7,32.6,35.9,28,28,0,2,11,0,13,15,46.4
Taplejung,Mechi,Mountain,Eastern,17,1017,TELLOK MA VI TELLOK,19.4,39.0,37.9,27.4,43.0,37.5,32,32,0,1,9,0,10,22,31.3
Taplejung,Mechi,Mountain,Eastern,18,1018,NILGIRI MA VI MEHELE,15.6,43.6,29.9,26.8,30.7,34.2,40,40,0,1,4,0,5,35,12.5
Taplejung,Mechi,Mountain,Eastern,19,1019,KALIKA MA VI NANGKHOLYANG,14.5,41.7,40.8,25.1,37.6,34.5,55,55,0,3,6,0,9,46,16.4
Taplejung,Mechi,Mountain,Eastern,20,1020,NAVA JYOTI AWASIYA MA VI PHUNGLING,22.2,43.3,39.8,24.9,31.0,34.5,67,67,0,1,22,1,24,43,35.8
Taplejung,Mechi,Mountain,Eastern,21,1021,SINWA MA VI LINGSIM SINWA,24.4,52.6,43.3,37.5,39.6,42.5,20,20,0,3,8,1,12,8,60.0
Taplejung,Mechi,Mountain,Eastern,22,1022,MAHENDRA MA VI PHAKUMVA MAIWAKHOLA,13.8,35.4,22.2,24.4,35.2,32.7,30,30,0,0,3,1,4,26,13.3
Taplejung,Mechi,Mountain,Eastern,23,1023,CHAKSIBOTE MA VI CHAKSIBOTE,15.6,37.9,35.1,31.1,37.4,33.7,16,16,0,0,4,1,5,11,31.3
Taplejung,Mechi,Mountain,Eastern,24,1024,CHANGE MA VI CHANGE,18.2,38.8,22.9,27.1,30.4,31.5,75,75,0,1,13,3,17,58,22.7
Taplejung,Mechi,Mountain,Eastern,25,1025,KALIKA MA VI TIRINGA,14.4,41.0,30.0,28.7,40.5,33.5,28,28,0,0,2,0,2,26,7.1
Taplejung,Mechi,Mountain,Eastern,26,1026,SHARADA MA VI THUMBEDIN,21.4,35.8,41.6,29.4,37.5,45.0,33,33,0,2,11,3,16,17,48.5
Taplejung,Mechi,Mountain,Eastern,27,1027,AMBEGUDIN MA VI RAJA,21.5,37.1,39.0,31.8,38.4,43.8,32,32,0,0,13,0,13,19,40.6
Taplejung,Mechi,Mountain,Eastern,28,1028,TRIBHUVAN MA VI MEWAKHOLA THUKIYA,21.9,48.0,39.9,32.5,31.6,41.4,36,36,0,0,10,2,12,24,33.3
Taplejung,Mechi,Mountain,Eastern,29,1029,BIRENDRA MA VI PHUNGLING-1 DEVLING,19.8,52.8,32.4,28.7,34.0,43.0,26,26,0,1,8,0,9,17,34.6
Taplejung,Mechi,Mountain,Eastern,30,1030,KANCHANJUNGHA BOARDING SCHOOL PHUNGLING,44.8,52.8,74.8,45.0,54.6,49.5,30,30,0,26,4,0,30,0,100.0
Taplejung,Mechi,Mountain,Eastern,31,1031,PARAM SINGHA DEVI MA VI NIGURADIN,16.7,35.6,35.6,31.8,33.7,38.3,32,32,0,0,7,0,7,25,21.9
Taplejung,Mechi,Mountain,Eastern,32,1032,MECHI ST. MARY'S ENGLISH BOARDING SCHOOL PHUNGLING-7,47.5,60.7,61.2,36.5,45.5,45.7,6,6,0,3,3,0,6,0,100.0
Taplejung,Mechi,Mountain,Eastern,33,1033,SIDDHAKALI MA VI DOKHU-5,18.0,48.0,26.0,24.3,30.5,40.5,42,42,0,0,7,0,7,35,16.7
Taplejung,Mechi,Mountain,Eastern,34,1034,MAYAM MA VI FURUMBU-5,20.4,47.1,37.8,33.9,32.9,37.9,35,35,0,0,9,4,13,22,37.1
Taplejung,Mechi,Mountain,Eastern,35,1035,GUPTESHWAR MA VI PHULBARI,15.7,42.6,32.5,33.6,30.8,36.0,20,20,0,0,1,0,1,19,5.0
Taplejung,Mechi,Mountain,Eastern,36,1036,OXFORD MODEL ENGLISH BOARDING SCHOOL PHUNGLING,43.1,62.5,66.6,38.0,50.5,49.8,8,8,0,5,3,0,8,0,100.0
Panchthar,Mechi,Hill,Eastern,37,2000,PRIVATE PANCHTHAR,21.8,36.2,21.2,20.8,29.6,39.8,97,92,0,1,7,8,16,76,17.4
Panchthar,Mechi,Hill,Eastern,38,2001,PHIDIM MA VI PHIDIM,23.5,45.3,39.1,29.1,37.3,42.7,104,103,0,13,29,1,43,60,41.7
Panchthar,Mechi,Hill,Eastern,39,2002,AMARPUR MA VI DORAMBA AMARPUR,24.9,37.4,37.7,25.9,33.3,40.2,116,116,0,2,33,21,56,60,48.3
Panchthar,Mechi,Hill,Eastern,40,2003,BISHNU MA VI CHYANGTHAPU,28.1,40.5,40.1,26.7,53.0,39.3,22,22,0,2,13,0,15,7,68.2
Panchthar,Mechi,Hill,Eastern,41,2004,KHALANGATAR MA VI YANGNAM,27.3,43.4,37.2,27.3,30.5,29.2,17,17,0,1,3,4,8,9,47.1
Panchthar,Mechi,Hill,Eastern,42,2005,SIDDHA DEVI MA VI NAWAMIDADA,24.5,36.5,35.5,25.4,33.8,38.1,173,173,0,6,42,31,79,94,45.7
Panchthar,Mechi,Hill,Eastern,43,2006,SIDDHAKALI MA VI EAKTIN JORPATI,18.6,43.4,24.8,25.7,34.1,34.1,46,46,0,1,10,0,11,35,23.9
Panchthar,Mechi,Hill,Eastern,44,2007,NAYA NAMUNA MA VI PHIDIM BAZAR,33.5,52.1,55.0,35.2,46.5,51.8,86,86,1,34,26,1,62,24,72.1
Panchthar,Mechi,Hill,Eastern,45,2008,SIDDHA DEVI MA VI NANGIN PIPALBOTE,21.5,41.8,25.7,26.8,32.7,44.2,79,79,0,3,13,1,17,62,21.5
Panchthar,Mechi,Hill,Eastern,46,2009,SIDDHESWORI MA VI BHARPA TUWA,18.8,37.3,26.1,25.8,31.6,32.9,78,77,0,0,18,1,19,58,24.7
Panchthar,Mechi,Hill,Eastern,47,2010,GUPTESHWOR MA VI OYAM,24.2,37.3,37.4,27.8,40.3,37.1,42,42,0,1,17,2,20,22,47.6
Panchthar,Mechi,Hill,Eastern,48,2011,JAY NARAYAN ADARSHA MA VI MEHELBOTE,19.7,34.5,33.8,25.4,32.0,35.4,64,63,0,0,18,2,20,43,31.7
Panchthar,Mechi,Hill,Eastern,49,2012,DURGA MA VI RAVI,23.9,44.6,41.9,24.8,36.9,37.9,83,82,0,5,29,8,42,40,51.2
Panchthar,Mechi,Hill,Eastern,50,2013,PRITHIVI MA VI YASOK,23.1,33.7,33.8,28.4,34.0,36.8,81,81,0,4,21,3,28,53,34.6
Panchthar,Mechi,Hill,Eastern,51,2014,INDRANI MA VI MOUWA,19.3,39.1,35.0,26.2,35.0,36.7,83,83,0,1,16,5,22,61,26.5
Panchthar,Mechi,Hill,Eastern,52,2015,NILGIRI MA VI SUBHANG,28.9,35.3,30.2,31.7,32.2,40.0,81,80,0,5,26,6,37,43,46.3
Panchthar,Mechi,Hill,Eastern,53,2016,RANITAR MA VI RANITAR,13.8,44.3,32.9,24.4,32.7,38.1,100,100,0,1,12,0,13,87,13.0
Panchthar,Mechi,Hill,Eastern,54,2017,SARASWATI MA VI MACHHEBUNG,21.0,41.2,29.8,21.9,28.1,30.6,80,80,0,1,14,6,21,59,26.3
Panchthar,Mechi,Hill,Eastern,55,2018,THARPU MA VI THARPU,25.0,42.6,38.9,31.1,41.4,39.6,168,168,0,15,73,8,96,72,57.1
Panchthar,Mechi,Hill,Eastern,56,2019,SIRIJUNG MA VI GOPETAR,29.1,39.6,34.0,31.7,34.0,41.6,122,122,0,7,49,9,65,57,53.3
Panchthar,Mechi,Hill,Eastern,57,2020,DURGA MA VI SARANGDANDA,26.1,40.7,43.6,28.9,32.0,43.3,36,36,0,1,20,0,21,15,58.3
Panchthar,Mechi,Hill,Eastern,58,2021,SARASWATI MA VI CHOKMAGU,23.4,45.3,32.2,22.6,36.1,35.0,56,56,0,2,13,7,22,34,39.3
Panchthar,Mechi,Hill,Eastern,59,2022,SARATAP MA VI PAUWA,11.9,44.8,24.5,19.6,34.0,38.2,40,40,0,0,1,0,1,39,2.5
Panchthar,Mechi,Hill,Eastern,60,2023,KALIKA MA VI PRANGBUNG,24.9,40.4,30.1,22.5,28.4,24.4,36,33,0,0,10,4,14,19,42.4
Panchthar,Mechi,Hill,Eastern,61,2024,JANA KALYAN MA VI KOLBUNG PHAKTEP,16.3,34.0,38.7,24.8,33.0,39.6,53,53,0,5,8,0,13,40,24.5
Panchthar,Mechi,Hill,Eastern,62,2025,MECHI ENGLISH SCHOOL PHIDIM 4,51.0,52.3,65.2,42.2,58.1,55.4,33,33,1,24,8,0,33,0,100.0
Panchthar,Mechi,Hill,Eastern,63,2026,ARUBOTE MA VI ARUBOTE,16.9,33.3,28.3,17.4,23.7,33.3,71,71,0,2,6,0,8,63,11.3
Panchthar,Mechi,Hill,Eastern,64,2027,MAHENDRODAYA MA VI PIPALBOTE,21.5,35.8,29.8,27.1,30.1,36.4,74,74,0,0,20,8,28,46,37.8
Panchthar,Mechi,Hill,Eastern,65,2028,SINGHA SIDDHA MA VI ANSHUBHANJYANG LUWAPHU,19.8,39.4,28.2,26.2,31.4,31.3,50,50,0,1,8,3,12,38,24.0
Panchthar,Mechi,Hill,Eastern,66,2029,GANESH MA VI NAGI CHITTOK,24.7,35.0,25.0,30.7,31.4,39.6,61,61,0,0,14,5,19,42,31.1
Panchthar,Mechi,Hill,Eastern,67,2030,KURUMBA MA VI KURUMBA,17.0,42.1,25.9,21.1,30.9,33.5,43,43,0,0,6,3,9,34,20.9
Panchthar,Mechi,Hill,Eastern,68,2031,GHURBISE PANCHAMI MA VI PHAKTEP,12.4,35.3,26.2,21.3,29.1,35.2,125,124,0,5,8,0,13,111,10.5
Panchthar,Mechi,Hill,Eastern,69,2032,MAHADEV GUPTESHWOR MA VI PHULPA LUNGRUPA,18.1,37.7,20.9,26.0,30.7,39.3,47,46,0,3,5,2,10,36,21.7
Panchthar,Mechi,Hill,Eastern,70,2033,SIDDHA SARASWATI MA VI BARBHANJYANG MANGJABUNG,19.1,34.2,29.3,25.7,32.2,31.6,37,36,0,1,4,7,12,24,33.3
Panchthar,Mechi,Hill,Eastern,71,2034,CHANDRESHWAR MA VI KHANDRONG,30.2,45.7,45.7,26.3,41.3,45.1,33,33,0,1,28,1,30,3,90.9
Panchthar,Mechi,Hill,Eastern,72,2035,VIDYA BARDAN ENGLISH BOARDING SCHOOL PHIDIM,44.8,42.4,57.8,42.2,51.4,48.2,26,26,0,15,8,0,23,3,88.5
Panchthar,Mechi,Hill,Eastern,73,2037,ITHUNG MA VI RANITAR,11.2,33.3,20.5,15.5,26.8,39.9,57,54,0,0,2,0,2,52,3.7
Panchthar,Mechi,Hill,Eastern,74,2038,KALIKA SECONDARY SCHOOL BABUNGA NAGIN,21.2,49.8,29.9,27.8,39.5,47.1,36,36,0,2,11,0,13,23,36.1
Panchthar,Mechi,Hill,Eastern,75,2040,SIDDHA MA VI PANCHAMI,26.5,36.1,36.3,27.1,31.8,32.8,64,64,0,1,17,13,31,33,48.4
Panchthar,Mechi,Hill,Eastern,76,2041,INDRAWATI MA VI HANGUM,23.1,38.0,33.1,23.2,29.8,34.1,49,49,0,0,11,9,20,29,40.8
Panchthar,Mechi,Hill,Eastern,77,2042,SIDDHA DEVI MA VI SIDIN,17.3,39.3,18.5,21.7,28.4,41.1,71,71,0,0,8,0,8,63,11.3
Panchthar,Mechi,Hill,Eastern,78,2043,JALA SINGH MA VI PAUWA SARTAP,14.8,44.9,29.9,28.1,40.4,38.5,32,32,0,3,5,0,8,24,25.0
Panchthar,Mechi,Hill,Eastern,79,2044,SARSWATI MA VI KHUNGA EAKTIN,17.2,42.4,27.2,30.4,35.9,35.2,34,34,0,0,2,0,2,32,5.9
Panchthar,Mechi,Hill,Eastern,80,2045,SINGHA DEVI MA VI KURUMBA SIKTEMBA,22.9,39.3,33.8,24.0,28.3,35.2,38,38,0,2,7,1,10,28,26.3
Panchthar,Mechi,Hill,Eastern,81,2046,SARBAJANIK MA VI LIMBA,27.3,42.9,44.2,28.0,38.8,39.6,29,29,0,0,20,3,23,6,79.3
Panchthar,Mechi,Hill,Eastern,82,2048,SINGHPUR PASHUPATI MA VI AMARPUR,26.0,38.6,36.7,27.4,33.0,39.6,65,64,0,4,22,5,31,33,48.4
Panchthar,Mechi,Hill,Eastern,83,2049,SIDDHA MA VI TINGDEN RANIGAUN,20.5,35.3,25.2,22.6,31.4,35.3,38,37,0,0,7,3,10,27,27.0
Panchthar,Mechi,Hill,Eastern,84,2052,JANAJYOTY SECONDARY ENGLISH BOARDING SCHOOL KURUMBA,14.2,39.3,27.9,19.0,31.7,35.7,15,15,0,0,0,0,0,15,0.0
Panchthar,Mechi,Hill,Eastern,85,2053,BHAGAWATI MA VI DURDIMBA,30.9,43.4,39.1,28.7,45.6,45.7,19,19,0,0,16,0,16,3,84.2
Panchthar,Mechi,Hill,Eastern,86,2054,BUDDHA MA VI FALAICHA-3,29.3,46.3,36.8,28.3,46.2,40.5,22,22,0,0,16,2,18,4,81.8
Panchthar,Mechi,Hill,Eastern,87,2055,SATYA HANGMA MA VI ENABUNG,26.7,40.8,33.2,23.9,34.3,33.9,41,41,0,0,13,6,19,22,46.3
Ilam,Mechi,Hill,Eastern,88,3000,PRIVATE ILAM,29.3,29.7,10.7,11.7,24.7,35.0,3,3,0,0,0,0,0,3,0.0
Ilam,Mechi,Hill,Eastern,89,3001,ADARSHA MA VI ILAM,33.0,47.8,36.7,32.1,44.6,49.6,263,263,5,46,97,4,152,111,57.8
Ilam,Mechi,Hill,Eastern,90,3002,KARFOK VIDYAMANDIR MA VI PANCHAKANYA,29.1,42.9,38.3,25.2,42.7,39.4,223,223,2,14,86,15,117,106,52.5
Ilam,Mechi,Hill,Eastern,91,3003,NAMSALING MA VI NAMSALING,22.9,42.2,35.3,28.2,40.6,40.8,97,97,0,3,31,11,45,52,46.4
Ilam,Mechi,Hill,Eastern,92,3004,BHANUBHAKTA MA VI MANGALBARE,29.3,44.3,33.2,30.2,44.7,47.4,204,202,0,26,74,2,102,100,50.5
Ilam,Mechi,Hill,Eastern,93,3005,SINGHA DEVI MA VI AMCHOK,24.3,39.0,32.1,30.0,39.2,39.7,119,119,0,5,32,19,56,63,47.1
Ilam,Mechi,Hill,Eastern,94,3006,JITPUR MA VI JITPUR,25.9,43.8,39.4,28.2,43.1,38.4,106,106,1,8,31,11,51,55,48.1
Ilam,Mechi,Hill,Eastern,95,3007,BOUDDHADHAM MA VI PASHUPATINAGAR,28.5,40.7,25.7,22.8,45.7,37.7,119,117,0,4,25,8,37,80,31.6
Ilam,Mechi,Hill,Eastern,96,3008,SARASWATI MA VI SULUBUNG,31.1,41.4,37.2,29.3,39.6,39.5,68,68,0,6,30,9,45,22,66.2
Ilam,Mechi,Hill,Eastern,97,3009,AMAR KALYAN MA VI NAYABAZAR,31.7,46.8,40.4,33.0,43.8,45.7,77,77,0,11,43,3,57,20,74.0
Ilam,Mechi,Hill,Eastern,98,3010,MAHENDRODAYA MA VI GAJURMUKHI,23.3,42.0,33.5,25.7,40.1,39.0,113,113,0,1,45,8,54,59,47.8
Ilam,Mechi,Hill,Eastern,99,3011,JANAK MA VI SHREE ANTU,31.2,48.7,37.7,33.9,34.9,41.7,86,86,0,7,33,5,45,41,52.3
Ilam,Mechi,Hill,Eastern,100,3012,CHISOPANI MA VI MIKLUNG BANJHO,22.8,39.7,23.7,23.6,31.6,40.4,25,25,0,0,7,1,8,17,32.0
Ilam,Mechi,Hill,Eastern,101,3013,AMAR MA VI BARBOTE,30.7,48.0,41.1,27.9,44.3,40.0,144,143,0,22,65,3,90,52,62.9
Ilam,Mechi,Hill,Eastern,102,3014,SARASWATI MA VI BATASE LAXMIPUR,23.8,39.7,25.8,26.7,37.8,41.3,157,157,0,8,39,4,51,106,32.5
Ilam,Mechi,Hill,Eastern,103,3016,KRISHNASHRAM MA VI KANYAM,29.8,49.7,49.2,37.9,41.5,41.6,98,98,0,10,75,5,90,8,91.8
Ilam,Mechi,Hill,Eastern,104,3017,KANKAI MA VI DANABARI,22.1,39.9,29.0,25.3,36.8,37.2,171,169,0,3,45,8,56,113,33.1
Ilam,Mechi,Hill,Eastern,105,3018,JANATA MA VI KANCHANPUR,28.3,41.7,44.0,29.0,39.5,38.0,207,205,1,11,122,28,162,40,79.0
Ilam,Mechi,Hill,Eastern,106,3019,JYOTISADAN BOARDING SCHOOL MALAPATH,10.5,29.0,11.5,13.5,26.0,26.0,2,1,0,0,0,0,0,1,0.0
Ilam,Mechi,Hill,Eastern,107,3020,FIKKAL MA VI FIKKAL,26.6,41.8,33.2,26.5,34.8,40.8,188,187,0,4,68,23,95,92,50.8
Ilam,Mechi,Hill,Eastern,108,3021,SHANTI NIKETAN MA VI KOLBUNG,25.6,50.7,38.9,34.7,39.1,40.7,80,80,1,8,35,4,48,32,60.0
Ilam,Mechi,Hill,Eastern,109,3022,BHAGAWATI MA VI GOLAKHARKA,23.5,47.1,30.5,22.0,40.0,35.9,70,70,0,5,16,1,22,48,31.4
Ilam,Mechi,Hill,Eastern,110,3023,SINGHA DEVI MA VI EKATAPPA,20.4,38.5,39.9,33.2,50.6,44.2,112,112,0,6,40,4,50,62,44.6
Ilam,Mechi,Hill,Eastern,111,3024,NEPALTAR MA VI SAKHEJUNG,20.2,46.5,38.7,30.7,41.7,36.8,117,117,1,8,31,4,44,73,37.6
Ilam,Mechi,Hill,Eastern,112,3025,JANATA MA VI CHISAPANI,20.0,40.4,18.9,22.8,36.4,36.8,58,58,0,0,6,3,9,49,15.5
Ilam,Mechi,Hill,Eastern,113,3026,HIMALAYA MA VI GORKHEY,26.5,44.6,24.1,25.9,51.1,38.9,87,86,0,9,14,0,23,63,26.7
Ilam,Mechi,Hill,Eastern,114,3027,SHYAMBAL MA VI MAIMAJHUWA,26.8,37.9,33.4,27.3,37.0,40.4,30,30,0,0,14,4,18,12,60.0
Ilam,Mechi,Hill,Eastern,115,3028,SANGRUMBA MA VI SANGRUMBA,23.0,44.3,40.9,25.5,45.9,42.6,81,81,0,5,30,0,35,46,43.2
Ilam,Mechi,Hill,Eastern,116,3029,PURNA SMARAK MA VI GODAK,24.7,40.0,38.8,26.7,41.7,41.5,64,64,0,3,19,10,32,32,50.0
Ilam,Mechi,Hill,Eastern,117,3030,MAIPOKHARI SAN MA VI MAIPOKHARI SULUBUNG,28.7,43.4,36.1,28.5,41.0,43.2,31,31,0,1,14,6,21,10,67.7
Ilam,Mechi,Hill,Eastern,118,3031,BHAGAWATI MA VI JAMUNA,17.6,41.3,28.4,28.8,39.8,42.2,58,58,0,2,11,3,16,42,27.6
Ilam,Mechi,Hill,Eastern,119,3032,MIKLACHONG MA VI SAKPHARA,19.3,35.1,16.3,22.0,31.2,40.5,32,32,0,0,4,0,4,28,12.5
Ilam,Mechi,Hill,Eastern,120,3033,KHANDRUNG MA VI SIDDHITHUMKA,21.6,42.5,35.6,28.5,43.1,41.2,107,107,0,2,39,2,43,64,40.2
Ilam,Mechi,Hill,Eastern,121,3039,SARASWATI MA VI BHALUTAR,24.5,39.7,39.5,26.5,38.0,29.3,148,143,0,5,57,17,79,64,55.2
Ilam,Mechi,Hill,Eastern,122,3040,SARASWATI MA VI SOYANG,29.8,42.5,37.8,28.4,38.6,45.5,64,63,0,6,35,4,45,18,71.4
Ilam,Mechi,Hill,Eastern,123,3041,SHANTIPUR MA VI SHANTIPUR,29.8,42.9,34.5,27.1,43.5,42.0,51,51,0,0,30,5,35,16,68.6
Ilam,Mechi,Hill,Eastern,124,3042,BHAGAWATI MA VI DHUSENI,25.8,43.1,26.1,24.6,41.6,43.4,60,60,0,3,18,2,23,37,38.3
Ilam,Mechi,Hill,Eastern,125,3044,PANCHA MA VI SHANTIDANDA-8,26.5,46.2,33.2,28.4,47.5,42.8,58,57,0,3,21,6,30,27,52.6
Ilam,Mechi,Hill,Eastern,126,3045,BINAPANI MA VI PUWAMAJHUWA-3,14.6,37.8,25.6,28.2,37.5,34.0,68,68,0,0,8,1,9,59,13.2
Ilam,Mechi,Hill,Eastern,127,3047,DAMBAR DEVI MA VI CHAMAITA,35.4,52.0,58.3,47.0,56.6,49.9,52,52,0,25,27,0,52,0,100.0
Ilam,Mechi,Hill,Eastern,128,3048,LAXMI ADARSHA MA VI MAHAMAI,19.1,37.7,25.3,22.8,33.4,31.5,71,71,0,0,4,8,12,59,16.9
Ilam,Mechi,Hill,Eastern,129,3049,ILAM VIDYA MANDIR MA VI NARAYANSTHAN,36.4,59.4,48.8,32.3,45.5,42.5,40,40,2,11,16,0,29,11,72.5
Ilam,Mechi,Hill,Eastern,130,3050,EBHANG MA VI EBHANG,23.1,40.5,35.1,27.8,42.1,40.1,35,35,0,0,14,7,21,14,60.0
Ilam,Mechi,Hill,Eastern,131,3053,GYANODAYA MA VI JOGMAI,25.2,40.7,37.2,28.5,38.3,44.7,38,37,0,2,19,0,21,16,56.8
Ilam,Mechi,Hill,Eastern,132,3054,JYOTI VIDYA MANDIR MALAPATH,26.3,46.4,36.7,24.5,36.8,34.9,17,17,0,1,5,0,6,11,35.3
Ilam,Mechi,Hill,Eastern,133,3055,PRABODH MA VI MABU-5,32.1,41.8,33.7,29.4,43.1,46.1,17,17,0,1,10,1,12,5,70.6
Ilam,Mechi,Hill,Eastern,134,3057,RASTRIYA MA VI KOLBOTE,23.0,38.4,36.8,28.5,45.5,38.7,40,40,0,2,12,4,18,22,45.0
Ilam,Mechi,Hill,Eastern,135,3058,MOTIRAM MA VI JIRMALE SALAKPUR ILAM,20.1,42.6,38.1,32.0,35.8,37.5,51,51,0,1,23,1,25,26,49.0
Ilam,Mechi,Hill,Eastern,136,3059,SAMALBUNG MA VI SAMALBUNG,31.2,48.9,41.6,34.2,35.0,45.0,44,44,0,6,18,2,26,18,59.1
Ilam,Mechi,Hill,Eastern,137,3061,BISHNU SECONDARY SCHOOL PHUYETAPPA ILAM,28.0,44.3,46.6,37.2,47.5,39.8,51,51,0,5,32,2,39,12,76.5
Ilam,Mechi,Hill,Eastern,138,3062,GREEN VALLEY ACADEMY MA VI ILAM,61.0,71.2,75.5,47.5,66.9,51.6,10,10,4,6,0,0,10,0,100.0
Ilam,Mechi,Hill,Eastern,139,3066,BAL MANDAL MA VI JASBIRE,24.6,40.1,27.7,22.4,37.8,38.4,49,48,0,0,12,6,18,30,37.5
Ilam,Mechi,Hill,Eastern,140,3067,PYANG MA VI PYANG-5,22.1,41.8,26.1,31.6,41.0,39.8,59,59,0,3,16,2,21,38,35.6
Jhapa,Mechi,Terai,Eastern,141,4000,PRIVATE JHAPA,24.5,34.9,19.4,25.1,35.4,36.5,11,11,0,0,1,1,2,9,18.2
Jhapa,Mechi,Terai,Eastern,142,4001,BHADRAPUR MA VI BHADRAPUR,23.8,37.3,20.1,20.3,32.0,30.3,146,145,0,3,9,8,20,125,13.8
Jhapa,Mechi,Terai,Eastern,143,4002,DILLIRAJ MA VI TANGANDUBBA,29.4,39.6,35.0,32.3,37.3,41.3,85,84,0,11,28,8,47,37,56.0
Jhapa,Mechi,Terai,Eastern,144,4003,MAHENDRA RATNA MA VI ANARMANI,19.6,41.8,34.3,23.1,35.9,47.1,174,174,1,5,30,2,38,136,21.8
Jhapa,Mechi,Terai,Eastern,145,4004,HIMALI MA VI PRITHIVINAGAR,21.3,36.4,32.5,28.6,35.4,38.0,87,87,0,1,19,9,29,58,33.3
Jhapa,Mechi,Terai,Eastern,146,4005,MOTI MA VI DHARAMPUR,25.1,41.1,24.9,27.5,37.5,39.2,51,51,0,5,3,1,9,42,17.6
Jhapa,Mechi,Terai,Eastern,147,4006,SAGARMATHA AWASIYA MA VI ANARMANI,46.6,44.3,50.6,38.0,40.9,41.0,24,24,0,5,11,1,17,7,70.8
Jhapa,Mechi,Terai,Eastern,148,4007,PRAGATI MA VI JUROPANI,30.9,51.4,46.2,33.7,47.7,47.0,53,53,1,10,28,0,39,14,73.6
Jhapa,Mechi,Terai,Eastern,149,4008,DURGA MA VI GARAMANI,24.8,43.9,32.1,24.5,42.1,32.3,167,167,0,10,36,17,63,104,37.7
Jhapa,Mechi,Terai,Eastern,150,4009,LITTLE FLOWER ENGLISH MA VI ANARMANI,57.0,59.1,80.2,53.8,56.8,54.7,122,122,20,92,10,0,122,0,100.0
Jhapa,Mechi,Terai,Eastern,151,4010,KANKAI AWASIYA ENGLISH MA VI BIRTAMOD,46.2,47.9,57.9,42.7,45.0,47.6,58,58,0,23,29,0,52,5,89.7
Jhapa,Mechi,Terai,Eastern,152,4011,BIRENDRA MA VI CHANDRAGADHI,22.7,41.7,37.7,29.5,48.5,39.4,80,80,0,11,17,2,30,49,37.5
Jhapa,Mechi,Terai,Eastern,153,4012,PASHUPATI MA VI RAJGADHA,25.7,39.3,31.6,31.4,36.1,39.2,164,164,0,17,37,9,63,101,38.4
