nombredepartamento,nombremunicipio,nombreestablecimiento,direccion
VALLE DEL CAUCA,BUENAVENTURA,COLEGIO MI SEGUNDO HOGAR,CL 1 45 00
NARIÑO,BARBACOAS,INSTITUCION EDUCATIVA BUENAVISTA,CARRETERA NACIONAL
ANTIOQUIA,ITUANGO,CIBERCOLEGIO UCN,KR 16 15 46
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL JHON DALTON                                                                                     ,KR 17 51 67
NARIÑO,PUERRES,CENTRO EDUCATIVO EL PAILON,VEREDA EL PAILON
VALLE DEL CAUCA,CALI,COLEGIO BENNETT,IND CLL ALFEREZ REAL CIUDAD JARDIN
NARIÑO,LOS ANDES,CENTRO EDUCATIVO SANTA LUCIA,VEREDA PANGUS
SANTANDER,ZAPATOCA,INSTITUCION EDUCATIVA  PALO BLANCO,VEREDA PALO BLANCO BAJO
VALLE DEL CAUCA,PALMIRA,C.E. SENDERO DEL FUTURO,KR 28 E 68 21
CUNDINAMARCA,MADRID,LICEO NATIVIDAD ACOSTA                                        ,CRA 9 NO 3 48
VALLE DEL CAUCA,CALI,COL STA TERESITA DEL NIÑO JESUS,KR 31 A 32 46
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF TIA CECY                                                                                   ,TV 80 85 77
CAUCA,TIMBÍO,C.E. LAS CRUCES,CORREGIMIENTO LAS CRUCES
CESAR,AGUACHICA,I.E. SANTA TERESA (PATIÑO),CORREGIMIENTO PATIÑO
CALDAS,VILLAMARÍA,COL. ANGLOHISPANO,IND HACIENDA VILLACLARA
VALLE DEL CAUCA,CALI,JARDIN INFANTIL CASITA DE CHOCOLATE,KR 11 D 34 40
VALLE DEL CAUCA,CALI,INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON,KR 26 P 50 39
NORTE DE SANTANDER,ABREGO,C.E.R EL TARRA,VDA. EL TARRA
ANTIOQUIA,MEDELLÍN,COL GUILLERMO TABORDA RESTREPO,CL 79 A 82 A 11
NARIÑO,PUERRES,INSTITUCION EDUCATIVA SAN MATEO,CORREGIMIENTO SAN MATEO
CUNDINAMARCA,SOPÓ,CONCENTRACION POLICARPA SALAVARRIETA,CENTRO COMENRICAL SIMON BOLIVAR
RISARALDA,PEREIRA,FUND GIMN PEREIRA,KR 13 3 E 99
QUINDIO,LA TEBAIDA,LA POPA,KM 5 VIA AL VALLE
VALLE DEL CAUCA,TULUÁ,ESCUELA MARIA  CRISTINA PALAU DE SARMIENTO,CL 1 1 12
VALLE DEL CAUCA,CALI,GIMN LOS FARALLONES,IND KM 2 VIA A JAMUNDÍ
NARIÑO,SAN BERNARDO,CENTRO EDUCATIVO SAN VICENTE,VDA LA RINCONADA
ANTIOQUIA,MEDELLÍN,CENT EDUC MI LINDO CARRUSEL,CLL 39SUR  79 22
META,VILLAVICENCIO,MI DIVINA INFANCIA,CARRERA 29B NO 47-26
BOYACÁ,TUNJA,I.E. SILVINO RODRIGUEZ,CL 17 D 1 25
NARIÑO,LEIVA,CENTRO EDUCATIVO SAN JOSE,VEREDA CAMPO ALEGRE
ANTIOQUIA,MEDELLÍN,INST EDUC SOR JUANA INES DE LA CRUZ,IND KR 67 103 EE 1
TOLIMA,PLANADAS,COL JORGE ISAAC,CR 7 NO 4-47
META,VILLAVICENCIO,INSTITUCION EDUCATIVA ANTONIO NARI¿O,CL 45 39 40
META,VILLAVICENCIO,GIMNASIO SUPERIOR DEL META,IND TR. 25  39C-33
VALLE DEL CAUCA,PALMIRA,IE DE ROZO,AV  1 OLAYA HERRERA
NARIÑO,SAN ANDRES DE TUMACO,CE. LA PIÑUELA,CORREGIMIENTO VUELTA DE CANDELILLA
ANTIOQUIA,RIONEGRO,INSTITUCION EDUCATIVA JUAN SEBASTIAN DE CENSA,CL 51 46 72
ANTIOQUIA,MEDELLÍN,CENT EDUC VIVENCIAS SIGNIFICATIVAS,CL 9 54 85
NARIÑO,TÚQUERRES,CENTRO DE ESTIMULACIÓN PEDAGÓGICO ALDEA DE SUEÑOS,CL 20 17 58
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF LUKAS KINDERGARDEN                                                                         ,DG 83 A 22 25
ATLÁNTICO,BARRANQUILLA,COL DE LOS PENSIONADOS DE LA POLICIA NACIONAL ESPERANZA Y PAZ (COOPEPAZ),KR 4 45 A 20
SUCRE,SINCELEJO,C.E. ACADEMIA LAS AMERICAS,KR 29 14 12
CALDAS,MANIZALES,LICEO INF. LA MAGIA DE CREAR,CL 9 B 1 F 80
NARIÑO,IMUÉS,CENTRO EDUCATIVO BELLAVISTA,VEREDA BELLAVISTA
VALLE DEL CAUCA,CALI,CENTRO EDUCATIVO PENSAR Y ARTE,TRANSV. 34 Nº D29-B16
CUNDINAMARCA,SOACHA,LICEO INFANTIL LUIS CARLOS GALAN,CRA. 4 ESTE NO. 32-08 SAN MATEO
CESAR,CHIMICHAGUA,I.E. PALMAR CAÑO HONDO,VDA. PALMAR CAÑO HONDO
VICHADA,CUMARIBO,C.E. INTERNADO SIMON BOLIVAR,PTO NARIÑO
ANTIOQUIA,AMAGÁ,I. E. SAN FERNANDO,KR 48 45 03
CAUCA,BUENOS AIRES,INSTITUCION EDUCATIVA PARA EL DESARROLLO INTERCULTURAL DE LAS COMUNIDADES INEDIC,CABILDO INDIGENA LAS DELICIAS
ANTIOQUIA,MEDELLÍN,INST EDUC LA MILAGROSA,KR 29 41 14
VALLE DEL CAUCA,CALI,LIC MODERNO ARCO IRIS,KR 31 38 87
ANTIOQUIA,MEDELLÍN,I.E. BENJAMIN HERRERA,CL 25 52 140
ANTIOQUIA,SAN CARLOS,INSTITUCION EDUCATIVA RURAL SAMANA,CORREG. SAMANA
TOLIMA,AMBALEMA,INSTITUCION EDUCATIVA NICANOR VELASQUEZ ORTIZ,KR 5 CL 16
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL PSICOPEDAG VILLA MAYOR                                                                          ,KR 35 32 08 SUR
NARIÑO,SAN PABLO,CENTRO EDUCATIVO YUNGUILLA,YUNGUILLA
CALDAS,MANIZALES,INSTITUCION EDUCATIVA MARISCAL SUCRE,KR 16 63 15
MAGDALENA,NUEVA GRANADA,NIFEMAR,LOS ANDES
MAGDALENA,SANTA MARTA,CORPORACION EDUCATIVA DEL CARIBE - CEDELCA,CL 24 2 05
ANTIOQUIA,APARTADÓ,I.E. CAMPO ALEGRE,IND EL SALVADOR
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC PEDAG MONTFORTIANO                                                                              ,KR 53 B 47 12 SUR
NARIÑO,LA UNIÓN,CENTRO EDUCATIVO EL DIVISO,VDA EL DIVISO
RISARALDA,PEREIRA,IE ESCUELA DE LA PALABRA,KR 3 A 26 16
NARIÑO,EL TAMBO,INSTITUCION EDUCATIVA SAN PEDRO,CORREG SAN PEDRO
ATLÁNTICO,SOLEDAD,CENTRO EDUCATIVO CRISTIANO MI PACTO CON JESUS,KR 17 59 C 21
CASANARE,TRINIDAD,IE RAFAEL GARCIA HERREROS,CORREG BOCAS DEL PAUTO
NARIÑO,IMUÉS,CENTRO EDUCATIVO EL CARMEN,VEREDA EL CARMEN
ANTIOQUIA,VALPARAÍSO,CIBERCOLEGIO                                                                                        ,KR 10 6 01
NARIÑO,SAMANIEGO,CENTRO EDUCATIVO MARANGUAY,VDA. MARANGUAY
NARIÑO,TÚQUERRES,CENTRO EDUCATIVO PUERANQUER,VEREDA PUERANQUER
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL PREESC LAS  ALEJANDRITAS                                                                        ,CLL. 136A NO.111B-06
BOLÍVAR,CARTAGENA,CORP INST. CIRY,MZ 69 LT 21
ANTIOQUIA,NARIÑO,C. E. R. UVITAL,VDA. UVITAL
RISARALDA,DOSQUEBRADAS,JARDIN INFANTIL SEMBRANDO FUTURO,CL 18 21 47
NARIÑO,ALBÁN,CENTRO EDUCATIVO SAN LUIS,VEREDA SAN LUIS 
VALLE DEL CAUCA,CALI,INSTITUCION EDUCATIVA RODRIGO LLOREDA CAICEDO,CL 38 A 47 A 45
VALLE DEL CAUCA,CALI,COLEGIO TECNICO INDUSTRIAL COMUNA 16,CLL 36 NO. 43B-81
CESAR,BECERRIL,C.E. CRISTIANO EMANUEL,KR 10 4 A 39
TOLIMA,IBAGUÉ,GIMNASIO LOS ANDES,MZ 76 CS 01
CUNDINAMARCA,SIBATÉ,COL PARROQUIAL LA ASUNCION                                  ,CL 12 8 38
NARIÑO,RICAURTE,CENTRO EDUCATIVO EL BALSAL,VDA EL BALSAL
NARIÑO,SANTACRUZ,CENTRO EDUCATIVO PISILTES,VDA. PISILTES
SANTANDER,TONA,COLEGIO INTEGRADO RAFAEL URIBE URIBE,CALLE 9 NO 3 - 36
TOLIMA,ESPINAL,INSTITUCION EDUCATIVA PATIO BONITO,VDA PATIO BONITO
NORTE DE SANTANDER,CÚCUTA,INST TEC RAFAEL GARCIA HERREROS,CORREG PALMARITO
META,CUMARAL,IE AGRICOLA DE GUACAVIA,INSP DE GUACAVIA
CUNDINAMARCA,SOACHA,INSTITUCION EDUCATIVA EL BOSQUE,KR 19 ESTE 31 A 64
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,CENTRO EDUCATIVO CAJITA DE SORPRESAS,KR 51 B 46 36
RISARALDA,PEREIRA,I.E. DIEGO MAYA SALAZAR,KR 34 32 C 35
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",CENT EDUC DIST FE Y ALEGRIA BELLAVISTA LA Y                                                         ,DG 69 A SUR 48 A 07
BOLÍVAR,SAN JACINTO,CENTRO EDUCATIVO EL PARAISO,CALLE 23 NO. 42-58
CUNDINAMARCA,FACATATIVÁ,COL MIS PEQUEÑOS FILOSOFOS                                  ,KR 3 6 60
CAUCA,SANTANDER DE QUILICHAO,INSTITUCION EDUCATIVA LIMBANIA VELASCO,CL 5 8 73
LA GUAJIRA,URIBIA,INSTITUCI¿N ETNOEDUCATIVA INTEGRAL RURAL INTERNADO DE SIAPANA,CGTO DE SIAPANA-ALTA GUAJIRA
TOLIMA,CAJAMARCA,INSTITUCION EDUCATIVA TECNICA AGROINDUSTRIAL CAJAMARCA,VDA CAJAMARQUITA
HUILA,PITALITO,IE MUNICIPAL VILLA FATIMA,VDA VILLAFATIMA
SUCRE,SAN LUIS DE SINCÉ,JARD INFANTIL PICARDIAS,CR 12 NO 6 - 04
BOLÍVAR,CARTAGENA,INSTITUCION EDUCATIVA SAN JUAN DE DAMASCO,BARRIO AMBERES 1 ER CALLEJON CRA 41 NO 26C-38
NARIÑO,SAN PEDRO DE CARTAGO,CENTRO EDUCATIVO LA CHORRERA,VDA LA CHORRERA
ATLÁNTICO,BARRANQUILLA,INSTITUTO DANIEL EL TRAVIESO,KR 18 27 88
CÓRDOBA,AYAPEL,ESC NVA EL ROSARIO,VDA EL ROSARIO
CÓRDOBA,SAN CARLOS,CEDUC. EL CARMEN,CRA 211B CALLE 13A 
BOYACÁ,TUNJA,CITY COLLEGE SAN AMOR,KR 8 17 47
ATLÁNTICO,PUERTO COLOMBIA,COLEGIO ANGLOCOLOMBIA,IND KILOMETRO 9 ANTIGUA VIA A PUERTO COLOMBIA
CAQUETÁ,PUERTO RICO,I.E. R. SANTANA RAMOS,VDA SANTANA RAMOS
VALLE DEL CAUCA,BUENAVENTURA,ROSA ZARATE DE PEÑA,IND BAZAN-BOCANA
ANTIOQUIA,MEDELLÍN,INST EDUC SAN JOSE OBRERO,CR 85 48 A SUR 51
NARIÑO,PASTO,C.E. SECRETO DE LOS NIÑOS,KR 4 12 D 109
VALLE DEL CAUCA,BUENAVENTURA,ESCUELA PRIVADA COMUNITARIA SAN PEDRO CLAVER,IND BARRIO  ALFONSO  LOPEZ 2A-09
CUNDINAMARCA,FACATATIVÁ,LIC INF CARABINERITOS DE COLOMBIA                           ,CL 14 6 50 BR LOS LAURELES
BOLÍVAR,CARTAGENA,CORPORACION EDUCATIVA JOSEPH WILSON SWAN,CL 31 82 95
NARIÑO,RICAURTE,I.E. BILINGUE AGROIND SINDAGUA,RESGUARDO INDIGENA EL PALMAR IMBI MEDIOUDIANTES - RICAURTE
NARIÑO,LA CRUZ,INSTITUCION EDUCATIVA TECNICA SAN FRANCISCO DE ASIS,CL 10 CL 7
CAQUETÁ,FLORENCIA,PEDAGOGICO INFANTIL LOS NENITOS,KR 15 6 75
SANTANDER,JESÚS MARÍA,CENTRO EDUCATIVO  AGUA FRIA,VEREDA AGUA FRIA
VALLE DEL CAUCA,EL CERRITO,COLEGIO CISNES BLANCOS Y NEGROS,KR 6 6 05
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD PSICOPEDAG EL MANANTIAL DEL SABER                                                              ,KR 25 A 4 B 20
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO RUR EL CURUBITAL (CED),KM 15 VIA USME SAN JUAN DE SUMAPAZ
LA GUAJIRA,RIOHACHA,GIMNASIO SIMON BOLIVAR,CL 9 12 63
ANTIOQUIA,SAN ROQUE,I. E. R. SAN JOSE DEL NUS,CORREG SAN JOSE DEL NUS
HUILA,PITALITO,CENTRO LUDICO PEDAGOGICO LOS ANGELES,KR 1 C 5 32
CUNDINAMARCA,CHÍA,COLEGIO BERTRAND RUSSELL,KM 20 VEREDA FUSCA - AUTOPISTA NORTE
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF TALLER DE ARTE ARCO IRIS                                                                   ,CL 87 9 06
SANTANDER,SAN GIL,COLEGIO  EL DIVINO NINO                                                                             ,CARRERA 7 CON CALLE 9
HUILA,PITAL,COL COOP DOMINGO SAVIO,CL 6 5 172
BOYACÁ,SOGAMOSO,COLEGIO SAN PABLO APOSTOL,KR 16 13 A 45
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL COOP MINUTO DE DIOS                                                                             ,IND TR 74 NO.82B-05
BOLÍVAR,CARTAGENA,CONC. ESCOLAR BERNARDO FOERGEN,MZ Q LT 1
ANTIOQUIA,URRAO,C. E. R. VASQUEZ,VDA. VASQUEZ
GUAINÍA,INÍRIDA,C.E. CERRO NAQUEN,IND COMUNIDAD DE BERROCAL
TOLIMA,PRADO,INSTITUCION EDUCATIVA JOSE CELESTINO MUTIS,IDP MONTOSO
BOLÍVAR,CARTAGENA,INSTITUTO EDUCATIVO LUZ Y VERDAD ,MZ E LT 8 9
MAGDALENA,EL RETÉN,INSTITUCION EDUCATIVA DEPARTAMENTAL EUCLIDES LIZARAZO,CALLE 4 CARRERA 6
NARIÑO,SANTA BÁRBARA,CENTRO EDUCATIVO LOS DOMINGOS,VEREDA LOS DOMINGOS
TOLIMA,IBAGUÉ,LICEO EMAUS,MZ 18 CS 6
BOLÍVAR,CARTAGENA,I.E. DE PONTEZUELA,ANILLO VIAL PONTEZUELA CL  167 MZA 070
SANTANDER,PIEDECUESTA,BETH SHALOM GIMNASIO CAMPESTRE,KR 15 1 16
ATLÁNTICO,SOLEDAD,CENTRO EDUCATIVO LAS NUBES,CL 43 A 14 21
ANTIOQUIA,PUERTO BERRÍO,I.E. NUEVO HORIZONTE,CLL. 6  80-97
VALLE DEL CAUCA,CALI,COL COOMEVA,IND AV CAÑASGORDAS CON AV EL BANCO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL LUIS CONCHA CORDOBA                                                                             ,AV 3 38 A 05
NARIÑO,CÓRDOBA,CENTRO EDUCATIVO MUESMUERAN BAJO,VEREDA MUESMUERAN  BAJO
ANTIOQUIA,MEDELLÍN,INST EDUC VIDA Y PAZ,KR 83 A 106 D 05
BOLÍVAR,REGIDOR,I.E. SANTA TERESA,SANTA TERESA
NORTE DE SANTANDER,CÚCUTA,COL LOS PEQUE¥OS ARTISTAS,CLL 11 NO 18-10 BARRIO CUNDINAMARCA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO DEBORA ARANGO PEREZ (IED),KR 84 A 57 B 04 SUR
CUNDINAMARCA,GUACHETÁ,INSTITUCION EDUCATIVA RURAL DEPARTAMENTAL MIÑA Y TICHA,VEREDA MIÑA
CASANARE,YOPAL,LICEO CAMPESTRE ANDINO,CL 9 23 30
ATLÁNTICO,BARRANQUILLA,JARDUN INFANTIL ALEGRE DESPERTAR,KR 66 74 90
CUNDINAMARCA,CHÍA,GIMNASIO EL ROSARIO,KR 2 17 68 BR SAN FRANCISCO
TOLIMA,GUAMO,INSTITUCION EDUCATIVA TECNICA ALBERTO CASTILLA,VDA RINCON SANTO
ANTIOQUIA,ALEJANDRÍA,INSTITUTO REGIONAL COREDI                                                      ,CL 9 19 65
VALLE DEL CAUCA,PALMIRA,JARD INF EL MUNDO DE LOS NIÑOS,KR 5 27 23
ATLÁNTICO,TUBARÁ,I.E. GUAIMARAL,VDA. DE GUAIMARAL
ATLÁNTICO,SOLEDAD,CENTRO EDUCATIVO EL MUNDO DE SHIRLEY,KR 14 F 54 36
VALLE DEL CAUCA,BUENAVENTURA,ESCUELA CARRUCEL DEL SABER ,KR 65 7 D 34
NARIÑO,CONTADERO,CENTRO EDUCATIVO SAN ANDRES,VEREDA SAN ANDRES
HUILA,NEIVA,CEINAR,CL 14 1 50
ARAUCA,FORTUL,LICEO ADVENTISTA FORTUL,CL 7 18 46
NARIÑO,ROBERTO PAYÁN,CENTRO EDUCATIVO GORGONA NO.1,VDA  GORGONA
VALLE DEL CAUCA,GUADALAJARA DE BUGA,LIC INF SUEÑOS Y FANTASIAS,KR 4 6 43
SANTANDER,BUCARAMANGA,IE TECNICO  POLITECNICO,CL 55 DIAG 14 106
ATLÁNTICO,BARRANQUILLA,COLEGIO DAVID,KR 46 120 03
TOLIMA,IBAGUÉ,INST EDUC JOSE JOAQUIN FLOREZ HERNANDEZ,CIUDADELA LAS AMERICAS SECTOR PICALEÑA
RISARALDA,PEREIRA,JARD INF GARABATOS,CL 16 3 39
NORTE DE SANTANDER,CÚCUTA,INST TEC MARIA CONCEPCION LOPERENA,AV LIBERTADORES NO 16E-30
VALLE DEL CAUCA,CALI,COL RICHARD BACH,IND CL 72 Z1 28 A1 04 - S CL 72Z 28AL 03 Y KR 26 AL 72Z 21
CALDAS,MANIZALES,HOGAR INF. LA TOSCANA,KR 14 63 B 50
HUILA,NEIVA,COL. LOS PARQUES,CL 3 A 30 B 10
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL  INF PSICOPEDAGOGICO CRECER                                                                     ,CL 163 7 G 30
CAUCA,PIENDAMÓ,CENTRO EDUCATIVO EL HOGAR,VEREDA EL HOGAR
VALLE DEL CAUCA,CALI,COLEGIO MIXTO SAN VICENTE,IND CL 64 4AN 39
CÓRDOBA,PUEBLO NUEVO,GIMNASIO PAZ Y ESPERANZA,KR 9 8 2
BOYACÁ,DUITAMA,COLEGIO PIAGET DE LAS AMERICAS,KR 18 9 04
NORTE DE SANTANDER,CÚCUTA,IE TECNICO PADRE ELADIO AGUDELO -  PAZ Y FUTURO,ANILLO VIAL OCCIDENTAL
SUCRE,SINCELEJO,GIMNASIO INTEGRAL DE LA SABANA,CL 36 16 32
ANTIOQUIA,SABANETA,I. E. MARIA AUXILIADORA,CL 56 S 38-117
CAUCA,TIMBÍO,C.E. LA CHORRERA,CORREGIMIENTO LA CHORRERA
CALDAS,ARANZAZU,INSTITUCION EDUCATIVA ALEGRIAS,VEREDA ALEGRIAS
SUCRE,TOLÚ VIEJO,CENTRO EDUCATIVO MANICA,VDA MANICA
CUNDINAMARCA,CHÍA,COLEGIO TRINIDAD DEL MONTE SCHOOL OF THE SACRED HEART,KM. 25 AUTOPISTA NORTE  VEREDA YERBABUENA
VALLE DEL CAUCA,BUENAVENTURA,SANTA TERESITA DEL NIÑO JESUS,IND 19D-09
NARIÑO,RICAURTE,CENTRO EDUCATIVO LA BOCANA,VDA LA BOCANA
NARIÑO,PUPIALES,CENTRO EDUCATIVO MIRAFLORES,VDA. MIRAFLORES
ANTIOQUIA,MEDELLÍN,CENTRO EDUCATIVO PARA LA FORMACION EN COMPETENCIAS  COMPUCEC ,CL 49 43 30
CÓRDOBA,MONTERÍA,INSTITUCION EDUCATIVA COMFACOR JAIME EXBRAYAT,KR 9 11 40
SANTANDER,MATANZA,COLEGIO INTEGRADO LAS MERCEDES,CARRERA 4 NO. 5 - 26
CUNDINAMARCA,COTA,GIMN CAMP SAN FRANCISCO DE SALES                            ,KM 2.8 VIA SIBERIA COTA-VEREDA PARCELAS
SANTANDER,BUCARAMANGA,COL GIMN CASTILLO DEL REY                                                                           ,CLL 55 NO 15-57
ANTIOQUIA,CAÑASGORDAS,I. E. R. BERNARDO SIERRA,VDA CESTILLAL
CÓRDOBA,SAHAGÚN,C.E. SANTIAGO ABAJO,CENTRO EDUCATIVO SANTIAGO ABAJO
SANTANDER,PIEDECUESTA,COLEGIO PEDAGÓGICO JOSSETTE JOLIBERT,KR 7 7 22
VALLE DEL CAUCA,CANDELARIA,I.E. INMACULADA CONCEPCION,CL 13 NO 14-23
NARIÑO,CONSACÁ,CENTRO EDUCATIVO ALTO TINAJILLAS,VEREDA ALTO TINAJILLAS
RISARALDA,DOSQUEBRADAS,INSTITUCION EDUCATIVA AGUSTIN NIETO CABALLERO,FRAILES
NARIÑO,BUESACO,CENTRO EDUCATIVO LA INMACULADA,VDA LA INMACULADA
TOLIMA,FLANDES,INSTITUCION EDUCATIVA CALDAS,KR 9 9 23 BR CENTRO
VALLE DEL CAUCA,CALI,INSTITUTO TECNICO JUVENIL DEL VALLE,KR 26 Q 123 65
NARIÑO,EL PEÑOL,CENTRO EDUCATIVO EL PEREJIL,EL PEÑOL
CUNDINAMARCA,CHÍA,GIMNASIO LA SABANA                                        ,CLL 11 NO 8 03
QUINDIO,CALARCA,SAN JOSE,IND CIUDADELA EDUC DEL SUR
SUCRE,LOS PALMITOS,LICEO VICENTE CAVIEDES (SEDE LOS PALMITOS) ,IND BARRIO PLAZA DE LA CRUZ
BOLÍVAR,CICUCO,I.E.T. ACUICOLA NUESTRA SEÑORA DE MONTECLARO,CICUCO AV. 20 DE JULIO # 19-101
SUCRE,SAMPUÉS,C.E. INDÍGENA ESCOBAR ARRIBA,COMUNIDAD INDIGENA ESCOBAR ARRIBA  LA PISTA 
VALLE DEL CAUCA,CALI,LIC NUEVA ERA,KR 42 A BIS 54 C 72
HUILA,GARZÓN,IE RAMON ALVARADO SANCHEZ,CEN POBL EL PARAISO
ATLÁNTICO,SOLEDAD,COLEGIO LA CARIDAD DEL COBRE DE SOLEDAD 2000,KR 11 44 24
NARIÑO,SANTA BÁRBARA,CENTRO EDUCATIVO SOLEDAD PUEBLITO,VEREDA SOLEDAD PUEBLITO
VALLE DEL CAUCA,BUENAVENTURA,CENTRO  EDUCATIVO CRISTIANO RENACER,IND KR 38 7A S/N - 140
LA GUAJIRA,RIOHACHA,CENTRO ETNOEDUCATIVO #11 (JARIJIÑAMANA MERIDAI),COMUNIDAD  JARIJIÑAMANA
NARIÑO,IPIALES,CENTRO EDUCATIVO ROSAL DE SAN JUAN,VEREDA ROSAL DE SAN JUAN
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",CENT EDUC DE NSTRA SRA DE LA PAZ                                                                    ,KR 27 29 65 SUR
ATLÁNTICO,BARRANQUILLA,ESCUELA MIXTA SAN NICOLAS,KR 3 43 96
META,VILLAVICENCIO,JARDIN INFANTIL HOGAR DE LA MISERICORDIA,CR. 44 NO. 12A-13
HUILA,AGRADO,IE MONTESITOS,VDA MONTESITOS
ATLÁNTICO,BARRANQUILLA,CENT EDUC SINAI,CL 70 C 23 C 36
CAUCA,SOTARA,I.E. PIEDRA DE LEON (ANTES C.E. PIEDRA DE LEON),VEREDA PIEDRA DE LEON
CAUCA,POPAYÁN,ALEJANDRO DE HUMBOLDT,BARRIO POMONA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC CARMELITA                                                                                       ,KR 77 K 57 D 23 SUR
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO ANTONIO NARIÑO (IED),KR 77 A 67 17
RISARALDA,PEREIRA,IE NUESTRA SEÑORA DE FATIMA,KR 7 40 65
RISARALDA,SANTA ROSA DE CABAL,CENTRO EDUCATIVO LA CASA DE LOS NIÑOS,KR 13 10 21
CHOCÓ,BAGADÓ,CE INDÍGENA DE CASCAJERO,VDA CASCAJERO
NARIÑO,BARBACOAS,CENTRO EDUCATIVO LA VEGA,ALTO TELEMBI
VALLE DEL CAUCA,YUMBO,LIC CAMPESTRE LA MISION,KM 1 VIA A DAPA
VALLE DEL CAUCA,PALMIRA,COLEGIO PSICOPEDAGOGICO SAN MATEO,CL 36 41 36
TOLIMA,IBAGUÉ,LICEO DEJANDO HUELLAS,CLL 139 NO. 8-31
BOLÍVAR,BARRANCO DE LOBA,I.E. LAS DELICIAS MINAS DE SANTA CRUZ,MINA STA. CRUZ
ANTIOQUIA,MEDELLÍN,MAT Y GUARD LOS OSITOS LTDA.,CL 9 SUR 32 150
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO ALFONSO REYES ECHANDIA (IED),KR 94 A SUR CL 74
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF MI SEGUNDA ESTACION                                                                        ,CR. 72D NO.45-30 SUR
NARIÑO,LA UNIÓN,INSTITUCION EDUCATIVA SANTANDER,CORREGIMIENTO SANTANDER (MUN. LA UNIÓN)
ATLÁNTICO,SOLEDAD,CENTRO EDUCATIVO JOSE MANUEL MARROQUIN,CLL 61 NO 4 - 07
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL ARTEAGA MUÑOZ                                                                                   ,CL 18 SUR 13 89
BOYACÁ,BOAVITA,I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO,CL 4 # 6 - 82
VALLE DEL CAUCA,GUADALAJARA DE BUGA,COLEGIO SAN PABLO,KR 15 10 45
SANTANDER,BARRANCABERMEJA,LICEO PEDAGÓCO GETSEMANÍ,CL 48 31 43
META,VILLAVICENCIO,COLEGIO JUAN B. CABALLERO MEDINA,KR 53 CL 2 S
MAGDALENA,SANTA MARTA,COLEGIO CRISTIANO ANGLOCOLOMBIANO,CL 11 D 22 90
CESAR,EL COPEY,I.E. INTEGRADO MONTELIBANO,KR 17 4 17
CAUCA,BOLÍVAR,INST EDUC EL CARMEN,INSPECCION EL CARMEN
CALDAS,MANIZALES,ASPAEN-GIMNASIO LOS CEREZOS,CL 07 KR 07 URB CERROS DE LA ALHAMBRA
VALLE DEL CAUCA,PALMIRA,ACADEMIA COMERCIAL REAL,KR 30 26 54
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LICEO PEDAGÓGICO FORJADORES DEL FUTURO,CL 67 SUR 91 89
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL CENCOSISTEMAS                                                                                   ,KR 18 18 68 SUR
CUNDINAMARCA,MOSQUERA,GIMNASIO MAYOR LEONARDO DA VINCI,KR 7 A 12 15
VALLE DEL CAUCA,CALI,COL SANTA LUISA DE MARILLAC,KR 7 S BIS 81 29
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO MANUEL DEL SOCORRO RODRIGUEZ (IED),AV 44 SUR 23 A 52
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMNASIO BILINGUE CASA CAMPESTRE DE LOS NIÑOS,KR 82 23 B 73
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARDÍN INFANTIL HUELLAS MAGICAS,TV 54 1 A 50 SUR
ARAUCA,TAME,LICEO ADVENTISTA LIBERTAD,CL 14 19 50
NARIÑO,LEIVA,CENTRO EDUCATIVO SAGRADO CORAZON DE JESUS,VEREDA LOS PLANES
