Region,Council,Ward,School Name,School Ownership,REG. NUMBER,< 12 years-M,< 12 years-F,12 years-M,12 years-F,13 years-M,13 years-F,14 years-M,14 years-F,15 years-M,15 years-F,16 years-M,16 years-F,17 years-M,17 years-F,18 years-M,18 years-F,19 years-M,19 years-F,> 19 years-M,> 19 years-F,Total-M,Total-F
Dodoma,Dodoma CC,Kilimani,SECHELELA,Government,S.3683,0,0,0,0,6,4,39,67,65,98,58,69,55,57,32,40,10,11,2,1,267,347
Dodoma,Dodoma CC,Kiwanja cha Ndege,KIWANJA CHA NDEGE,Government,S.782,0,0,0,0,0,0,0,0,84,103,101,98,45,68,50,55,19,16,2,6,301,346
Dodoma,Dodoma CC,Kiwanja cha Ndege,MLIMWA,Government,S.3613,0,0,0,6,10,25,85,88,108,103,92,88,38,59,26,20,13,14,2,2,374,405
Dodoma,Dodoma CC,Kizota,CITY,Non-Government,S.812,0,0,0,0,0,0,3,0,2,1,2,0,2,8,1,3,0,0,0,0,10,12
Dodoma,Dodoma CC,Kizota,KIZOTA,Government,S.2508,0,0,0,0,41,35,109,86,98,126,99,97,83,67,45,38,15,4,3,1,493,454
Dodoma,Dodoma CC,Majengo,UMONGA,Government,S.2509,0,0,0,0,29,31,50,58,120,141,95,84,84,103,21,10,5,1,7,1,411,429
Dodoma,Dodoma CC,Makole,DODOMA,Government,S.30,0,0,1,1,16,34,134,138,111,113,91,97,108,110,55,110,17,187,2,107,535,897
Dodoma,Dodoma CC,Makutupora,MAKUTUPORA,Government,S.931,0,0,0,0,9,12,39,48,46,68,48,81,61,73,39,38,37,32,28,13,307,365
Dodoma,Dodoma CC,Makutupora,ST. GABRIEL UFUNDI,Non-Government,S.5006,0,0,0,0,6,5,14,6,16,7,15,8,7,3,0,0,0,0,0,0,58,29
Dodoma,Dodoma CC,Mbabala,BIHAWANA JUNIOR SEMINARY,Non-Government,S.197,0,0,0,0,7,0,30,0,64,0,47,0,27,0,54,0,16,0,1,0,246,0
Dodoma,Dodoma CC,Mbabala,BIHAWANA,Government,S.51,0,0,0,0,0,0,0,0,0,0,0,0,5,0,48,0,191,0,482,0,726,0
Dodoma,Dodoma CC,Mbabala,MBABALA,Government,S.970,0,0,0,0,2,2,18,21,54,92,97,159,136,137,85,79,19,23,11,12,422,525
Dodoma,Dodoma CC,Mbalawala,MBALAWALA,Government,S.3612,0,0,0,0,5,8,43,45,32,62,13,34,12,18,18,16,8,10,5,5,136,198
Dodoma,Dodoma CC,Miyuji,AZIMIO,Non-Government,S.2383,0,0,0,0,2,2,31,31,41,24,22,15,12,6,10,10,3,0,0,0,121,88
Dodoma,Dodoma CC,Miyuji,JOHN MERLINI,Non-Government,S.4880,0,0,0,1,21,7,57,21,69,35,60,25,55,23,19,2,16,0,0,0,297,114
Dodoma,Dodoma CC,Miyuji,SALESIAN SEMINARY,Non-Government,S.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,30,14,59,9,93,29
Dodoma,Dodoma CC,Mkonze,MKONZE,Government,S.2511,2,6,5,7,33,38,68,87,84,98,78,82,75,85,50,83,50,70,13,10,458,566
Dodoma,Dodoma CC,Mnadani,MIYUJI,Government,S.1955,0,0,0,1,12,20,108,170,106,133,120,119,79,94,47,49,12,9,4,1,488,596
Dodoma,Dodoma CC,Mpunguzi,MPUNGUZI,Government,S.1558,0,0,0,0,28,36,50,53,113,139,154,174,133,105,71,50,14,18,9,2,572,577
Dodoma,Dodoma CC,Msalato,CHIKOLE,Government,S.2243,0,0,0,0,2,5,16,53,83,84,111,93,62,52,31,26,11,9,4,1,320,323
Dodoma,Dodoma CC,Msalato,MSALATO,Government,S.48,0,0,0,3,0,31,0,92,0,99,0,132,0,95,0,79,0,103,0,49,0,683
Dodoma,Dodoma CC,Mtumba,MTUMBA,Government,S.1559,0,0,5,13,22,25,34,53,53,97,38,46,22,40,9,16,1,0,0,0,184,290
Dodoma,Dodoma CC,Nala,NALA,Government,S.1560,0,0,0,0,0,8,9,20,32,52,34,61,30,26,15,17,7,5,2,2,129,191
Dodoma,Dodoma CC,Ng'onng'onha,NG'HONG'HONHA,Government,S.2513,0,0,0,0,4,1,25,52,51,69,72,108,64,72,33,30,7,9,1,4,257,345
Dodoma,Dodoma CC,Nkuhungu,ITEGA,Government,S.3374,0,0,0,0,5,25,45,57,49,122,58,95,62,67,63,30,7,2,1,0,290,398
Dodoma,Dodoma CC,Nkuhungu,MNADANI,Government,S.3373,0,0,24,26,177,99,132,122,82,100,46,75,20,12,4,11,3,0,0,1,488,446
Dodoma,Dodoma CC,Nkuhungu,NKUHUNGU,Non-Government,S.1139,0,0,3,4,3,9,20,15,43,28,36,44,33,40,14,19,3,3,0,0,155,162
Dodoma,Dodoma CC,Ntyuka,NTYUKA,Government,S.3375,0,0,3,1,11,7,63,91,29,47,50,56,37,41,39,26,23,7,10,0,265,276
Dodoma,Dodoma CC,Nzuguni,NZUGUNI,Government,S.2515,0,0,3,6,19,15,60,100,128,261,144,137,72,132,65,82,31,31,30,14,552,778
Dodoma,Dodoma CC,Tambukareli,AL-QAEM SEMINARY,Non-Government,S.1153,0,0,5,4,20,26,20,20,7,13,37,12,20,20,0,0,0,0,0,0,109,95
Dodoma,Dodoma CC,Tambukareli,DCT JUBILEE,Non-Government,S.1801,0,0,0,0,2,5,6,12,19,15,20,24,21,31,12,7,0,0,0,0,80,94
Dodoma,Dodoma CC,Tambukareli,ST. IRENE MEDELI,Non-Government,S.2346,0,0,0,0,11,6,12,35,26,31,8,0,2,0,0,0,0,0,0,0,59,72
Dodoma,Dodoma CC,Uhuru,DODOMA CENTRAL,Non-Government,S.4693,0,0,0,0,2,4,6,11,11,11,8,13,14,18,19,28,30,21,31,4,121,110
Dodoma,Dodoma CC,Uhuru,JAMHURI,Non-Government,S.245,0,0,0,0,1,1,7,9,18,23,19,13,42,25,87,55,92,28,13,6,279,160
Dodoma,Dodoma CC,Viwandani,VIWANDANI,Government,S.1954,0,0,2,2,85,96,101,125,82,94,46,61,42,61,32,24,7,7,7,5,404,475
Dodoma,Dodoma CC,Zuzu,ZUZU,Government,S.2518,0,0,0,0,2,4,39,48,32,35,28,65,32,22,12,10,4,5,0,1,149,190
Dodoma,Kondoa,Bereko,BEREKO,Government,S.565,0,0,6,3,7,8,72,91,10,35,32,73,39,48,17,30,8,6,4,3,195,297
Dodoma,Kondoa,Bumbuta,BUMBUTA,Government,S.5114,0,0,0,0,0,0,12,38,18,44,14,33,24,28,9,8,0,0,0,0,77,151
Dodoma,Kondoa,Busi,BUSI,Government,S.1463,0,0,0,0,1,17,8,19,48,92,61,139,55,144,36,73,33,37,6,2,248,523
Dodoma,Kondoa,Changaa,CHANGAA,Government,S.2162,0,0,0,0,0,0,15,25,31,22,13,13,11,24,12,16,8,24,6,4,96,128
Dodoma,Kondoa,Haubi,INTELA,Government,S.825,0,0,0,0,0,7,5,34,19,86,55,93,69,79,41,67,17,2,0,0,206,368
Dodoma,Kondoa,Hondomairo,HONDOMOIRO,Government,S.5113,0,0,0,0,0,0,2,4,14,28,24,28,35,53,15,6,0,0,0,0,90,119
Dodoma,Kondoa,Itaswi,ITASWI,Government,S.1977,0,0,0,0,2,4,36,45,33,69,40,55,55,82,14,51,0,0,0,0,180,306
Dodoma,Kondoa,Itololo,REGINA MUMBA LOWASA,Government,S.1973,0,0,0,0,5,4,24,20,37,50,51,28,40,62,29,47,15,23,13,5,214,239
Dodoma,Kondoa,Kalamba,KALAMBA,Government,S.2458,0,0,0,0,0,2,8,16,28,52,28,66,25,47,5,5,1,0,0,0,95,188
Dodoma,Kondoa,Kalamba,LOO,Government,S.2453,0,0,0,0,40,28,23,49,21,32,10,21,28,46,8,4,0,0,0,0,130,180
Dodoma,Kondoa,Kikilo,BERABERA,Government,S.3440,0,0,0,0,1,5,6,4,27,19,12,15,6,9,0,7,3,2,0,0,55,61
Dodoma,Kondoa,Kikilo,KIKILO,Government,S.2459,0,0,0,0,0,0,0,3,32,37,21,42,25,40,11,15,4,4,1,0,94,141
Dodoma,Kondoa,Kikilo,ORORIMO ISLAMIC,Non-Government,S.4925,0,0,0,0,4,3,6,6,3,8,10,21,6,13,8,10,0,0,0,0,37,61
Dodoma,Kondoa,Kikore,HURUI,Government,S.1974,0,0,0,0,0,5,5,26,33,43,27,73,38,27,23,24,7,1,3,0,136,199
Dodoma,Kondoa,Kikore,KIKORE,Government,S.2455,0,0,0,0,0,0,6,9,26,58,33,41,18,18,5,8,2,1,5,0,95,135
Dodoma,Kondoa,Kinyasi,KINYASI,Government,S.4009,0,0,0,0,0,5,14,48,63,58,66,80,20,90,30,34,14,16,5,1,212,332
Dodoma,Kondoa,Kisese,KISESE,Government,S.1972,0,0,0,1,2,10,31,48,37,54,46,46,48,64,21,39,10,2,0,0,195,264
Dodoma,Kondoa,Kwadelo,KWADELO,Government,S.3377,0,0,0,0,0,3,4,31,42,59,40,75,29,64,31,42,30,2,0,2,176,278
Dodoma,Kondoa,Masange,MASANGE,Government,S.2456,0,0,0,4,3,12,37,40,18,44,27,60,34,69,27,30,14,12,4,2,164,273
Dodoma,Kondoa,Mnenia,IMBAFI,Government,S.3381,0,0,1,0,0,0,40,92,83,88,59,51,56,74,32,54,2,32,0,0,273,391
Dodoma,Kondoa,Pahi,AMANI A. KARUME,Government,S.804,0,0,0,0,0,2,9,24,30,60,63,59,49,67,56,66,59,21,184,1,450,300
Dodoma,Kondoa,Pahi,KITEO,Government,S.3382,0,0,0,0,1,0,3,13,30,54,33,45,50,74,35,26,21,3,2,1,175,216
Dodoma,Kondoa,Pahi,TANNER GIRLS,Non-Government,S.4354,0,0,0,0,0,4,0,8,0,19,0,32,0,20,0,5,0,4,0,0,0,92
Dodoma,Kondoa,Salanka,MASAWI,Government,S.3624,0,0,0,0,0,0,15,32,20,42,42,57,29,64,2,0,0,0,0,0,108,195
Dodoma,Kondoa,Soera,BUKULU,Government,S.1464,0,0,0,0,20,30,51,52,72,72,54,46,20,30,30,45,9,10,0,0,256,285
Dodoma,Kondoa,Thawi,SAKAMI,Government,S.3439,0,1,0,1,23,16,0,3,9,26,6,20,10,18,16,5,10,1,5,0,79,91
Dodoma,Kondoa,Thawi,THAWI,Government,S.2457,0,0,0,0,0,0,3,12,23,29,12,33,13,41,14,26,4,16,1,0,70,157
Dodoma,Kondoa TC,Bolisa,GUBALI,Government,S.2450,0,0,0,0,1,1,25,23,28,20,29,36,23,41,31,20,9,9,0,0,146,150
Dodoma,Kondoa TC,Chemchem,EMBEKO,Non-Government,S.4506,0,0,0,0,4,3,7,9,10,18,14,22,14,7,7,8,3,2,1,0,60,69
Dodoma,Kondoa TC,Chemchem,KWAPAKACHA,Government,S.373,0,0,0,2,9,36,51,67,80,92,90,144,92,124,37,25,4,8,3,0,366,498
Dodoma,Kondoa TC,Kilimani,BICHA,Government,S.1971,0,0,4,1,19,16,85,89,16,44,48,77,57,70,38,36,15,11,1,1,283,345
Dodoma,Kondoa TC,Kingale,DILAI,Government,S.1975,0,0,0,0,0,0,18,35,37,79,35,102,26,62,10,19,3,0,0,0,129,297
Dodoma,Kondoa TC,Kolo,KOLO,Government,S.2454,0,0,3,1,4,3,29,37,5,27,19,19,18,30,22,21,3,1,1,1,104,140
Dodoma,Kondoa TC,Kondoa Mjini,IBRA,Non-Government,S.2520,0,0,0,0,8,19,15,15,19,8,17,15,11,28,7,4,13,5,8,3,98,97
Dodoma,Kondoa TC,Kondoa Mjini,KONDOA GIRLS,Government,S.246,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,149,0,217,0,264,0,651
Dodoma,Kondoa TC,Kondoa Mjini,KONDOA ISLAMIC,Non-Government,S.4443,0,0,6,18,23,53,42,55,51,73,64,98,44,60,27,38,17,10,3,1,277,406
Dodoma,Kondoa TC,Kondoa Mjini,ULA,Government,S.1465,0,0,0,0,9,12,63,69,88,119,68,105,53,94,33,26,9,4,1,2,324,431
Dodoma,Kondoa TC,Serya,SERYA,Government,S.2461,0,0,0,0,0,1,3,9,15,19,20,38,23,29,16,9,13,7,0,0,90,112
Dodoma,Kondoa TC,Suruke,MTOBUBU,Government,S.2161,0,0,0,1,3,3,14,45,13,18,19,33,21,34,13,6,3,3,1,0,87,143
Dodoma,Kongwa,Chamkoroma,MANG'HWETA,Government,S.1960,0,0,0,0,1,5,11,32,52,79,69,92,76,53,41,26,14,8,8,1,272,296
Dodoma,Kongwa,Chiwe,CHIWE,Government,S.2473,0,0,0,0,0,14,31,48,43,86,60,80,34,50,39,32,9,6,8,0,224,316
Dodoma,Kongwa,Hogoro,BANYIBANYI,Government,S.4941,0,0,0,0,1,2,22,35,38,60,58,71,35,45,13,15,5,13,6,5,178,246
Dodoma,Kongwa,Hogoro,HOGORO,Government,S.1959,0,0,0,0,0,3,7,28,42,88,46,60,45,71,42,36,24,4,5,1,211,291
Dodoma,Kongwa,Iduo,IDUO,Government,S.2472,0,0,0,0,0,0,5,12,19,37,41,75,50,47,56,48,40,14,14,7,225,240
Dodoma,Kongwa,Kibaigwa,BENJAMINI,Non-Government,S.4944,0,0,0,0,2,3,2,1,1,3,2,6,4,9,5,3,3,2,2,0,21,27
Dodoma,Kongwa,Kibaigwa,CHRISTOPHER,Non-Government,S.3580,0,0,0,0,4,7,4,2,4,9,3,3,5,4,7,8,7,10,2,2,36,45
Dodoma,Kongwa,Kibaigwa,KIBAIGWA,Government,S.1565,0,0,1,2,14,23,82,88,174,215,162,197,146,163,96,56,37,13,12,6,724,763
Dodoma,Kongwa,Kibaigwa,NDURUGUMI,Government,S.4900,0,0,0,0,3,5,35,46,61,96,77,99,70,84,56,45,41,12,24,10,367,397
Dodoma,Kongwa,Kibaigwa,PIO,Non-Government,S.1145,0,0,0,0,20,10,86,38,84,12,66,21,7,28,0,14,0,0,0,0,263,123
Dodoma,Kongwa,Kongwa,KONGWA,Government,S.544,0,0,0,0,5,20,20,47,46,78,79,57,53,73,60,38,69,11,65,3,397,327
Dodoma,Kongwa,Kongwa,MNYAKONGO,Government,S.2471,0,0,0,0,3,8,36,37,40,63,66,103,63,78,35,50,15,6,6,3,264,348
Dodoma,Kongwa,Kongwa,MT. FRANCISCO WA ASSISI (GIRLS),Non-Government,S.4274,0,0,0,22,0,76,0,130,0,98,0,72,0,31,0,7,0,0,0,0,0,436
Dodoma,Kongwa,Makawa,MAKAWA,Government,S.2852,0,0,0,0,0,0,1,11,29,42,40,59,47,39,34,43,19,18,6,3,176,215
Dodoma,Kongwa,Matongoro,NORINI,Government,S.2851,0,0,2,0,9,8,70,69,33,64,54,67,65,95,48,50,31,15,7,5,319,373
Dodoma,Kongwa,Mkoka,ZOISSA,Government,S.412,0,0,2,3,7,8,36,54,60,87,80,99,79,78,49,37,22,16,2,1,337,383
Dodoma,Kongwa,Mlali,MLALI,Government,S.788,0,0,1,1,11,24,54,128,114,166,129,154,99,71,63,22,23,5,5,0,499,571
Dodoma,Kongwa,Mlali,ST. CLARA MLALI GIRLS,Non-Government,S.4747,0,0,0,9,0,38,0,53,0,41,0,45,0,25,0,8,0,0,0,0,0,219
Dodoma,Kongwa,Mtanana,MTANANA,Government,S.1958,0,0,0,0,1,4,6,17,34,44,43,52,42,54,36,25,12,4,2,1,176,201
Dodoma,Kongwa,Mtanana,NDALIBO,Government,S.3602,0,0,0,0,9,6,19,18,22,42,46,46,40,47,37,34,9,4,3,1,185,198
Dodoma,Kongwa,Nghumbi,NG'HUMBI,Government,S.2850,0,0,0,0,0,2,2,4,12,24,29,48,25,37,35,25,19,8,14,3,136,151
Dodoma,Kongwa,Ngomai,NGOMAI,Government,S.2474,0,0,0,0,1,12,18,29,66,44,71,81,55,50,41,29,13,9,3,1,268,255
Dodoma,Kongwa,Njoge,HEMBAHEMBA,Government,S.2475,0,0,0,0,4,5,21,38,38,70,43,44,36,30,16,20,12,2,2,0,172,209
Dodoma,Kongwa,Pandambili,PANDAMBILI,Government,S.1564,0,0,1,0,5,9,48,86,88,143,150,150,136,114,64,55,38,10,4,1,534,568
Dodoma,Kongwa,Sagara,LAIKALA,Government,S.3600,0,0,0,0,0,0,3,7,8,29,33,41,36,33,32,29,16,16,12,3,140,158
Dodoma,Kongwa,Sagara,SAGARA,Government,S.1956,0,0,0,0,2,4,70,68,53,53,12,15,58,51,46,34,3,0,0,0,244,225
Dodoma,Kongwa,Sejeli,SEJELI,Government,S.1563,0,0,0,0,3,5,35,48,65,82,61,136,61,79,35,58,30,16,12,3,302,427
Dodoma,Kongwa,Songambele,SONGAMBELE KILIMANI,Government,S.2476,0,0,0,1,53,20,45,97,66,88,79,83,48,43,32,13,18,4,3,1,344,350
Dodoma,Kongwa,Ugogoni,IBWAGA,Government,S.3601,0,0,0,0,0,0,17,18,32,40,31,33,35,63,27,25,6,56,2,62,150,297
Dodoma,Kongwa,Ugogoni,MUMI,Government,S.1957,0,0,0,0,0,5,12,31,35,37,45,34,47,53,29,42,12,7,10,9,190,218
Dodoma,Kongwa,Zoissa,MANG'HAILA,Government,S.2477,0,0,0,0,12,15,19,37,42,60,62,80,56,55,38,24,9,6,3,5,241,282
Dodoma,Mpwapwa,Berege,BEREGE,Government,S.1573,0,0,0,0,0,12,88,181,113,83,45,71,37,89,94,64,96,8,75,2,548,510
Dodoma,Mpwapwa,Chipogoro,CHIPOGORO,Government,S.2439,0,0,0,0,10,13,29,22,83,74,76,66,45,49,21,18,8,10,0,2,272,254
Dodoma,Mpwapwa,Chunyu,CHUNYU,Government,S.1569,0,0,0,0,7,12,26,23,45,24,9,42,47,44,31,27,17,22,4,2,186,196
Dodoma,Mpwapwa,Godegode,GODEGODE,Government,S.1568,0,0,0,0,0,0,23,24,37,40,48,63,24,42,22,18,14,12,0,0,168,199
Dodoma,Mpwapwa,Ipera,IPERA,Government,S.1566,0,0,0,0,8,10,59,74,48,66,95,113,82,97,52,24,6,1,0,1,350,386
Dodoma,Mpwapwa,Kibakwe,KIBAKWE,Government,S.374,0,0,0,0,1,21,54,116,100,131,83,105,83,106,94,120,34,76,8,115,457,790
Dodoma,Mpwapwa,Luhundwa,IKUYU,Government,S.3603,0,0,0,0,0,3,4,20,24,70,52,60,36,37,25,16,11,4,3,1,155,211
Dodoma,Mpwapwa,Luhundwa,LUHUNDWA,Government,S.1948,0,0,0,0,2,3,10,41,44,82,61,51,61,53,38,34,15,5,4,0,235,269
Dodoma,Mpwapwa,Lupeta,KIMAGHAI,Government,S.1950,0,0,0,0,7,19,33,37,58,57,54,53,52,85,40,35,8,13,6,3,258,302
Dodoma,Mpwapwa,Massa,MASSA,Government,S.1980,0,0,0,0,2,8,31,44,57,73,75,79,65,93,53,46,30,9,8,5,321,357
Dodoma,Mpwapwa,Matomondo,MATOMONDO,Government,S.1572,0,0,0,0,12,13,21,35,61,86,65,65,35,25,10,21,26,32,12,9,242,286
Dodoma,Mpwapwa,Mazae,MAZAE,Government,S.2505,0,0,0,0,0,6,0,163,0,113,0,68,0,91,0,45,0,117,0,106,0,709
Dodoma,Mpwapwa,Mazae,QUEEN ESTHER GIRLS',Non-Government,S.4666,0,0,0,2,0,11,0,9,0,14,0,13,0,20,0,6,0,1,0,0,0,76
Dodoma,Mpwapwa,Mbuga,MBUGA,Government,S.2440,0,0,0,0,1,1,16,20,39,46,54,49,47,66,41,36,12,15,6,2,216,235
Dodoma,Mpwapwa,Mima,MIMA,Government,S.1567,0,0,0,0,1,3,21,40,69,106,87,101,69,65,53,48,43,21,16,4,359,388
Dodoma,Mpwapwa,Mlunduzi,CHINYIKA,Government,S.2438,0,0,0,0,0,3,12,21,35,56,38,75,53,35,29,27,9,5,2,0,178,222
Dodoma,Mpwapwa,Mpwapwa Mjini,IHALA,Government,S.1188,0,0,0,1,4,16,42,61,68,67,64,71,52,42,55,17,15,10,4,3,304,288
Dodoma,Mpwapwa,Mpwapwa Mjini,MOUNT IGOVU,Government,S.1949,0,0,0,0,17,26,57,97,70,65,87,86,37,49,53,28,9,5,0,2,330,358
Dodoma,Mpwapwa,Mpwapwa Mjini,MPWAPWA,Government,S.6,0,0,0,0,14,0,17,0,40,0,62,0,65,0,37,13,55,29,150,58,440,100
Dodoma,Mpwapwa,Mpwapwa Mjini,MWANAKIANGA,Government,S.2506,0,0,0,1,6,9,41,25,82,33,91,35,121,59,59,17,18,5,3,0,421,184
Dodoma,Mpwapwa,Mtera,MTERA DAM,Government,S.1571,0,0,3,1,10,13,63,79,22,27,44,53,40,51,38,22,12,5,2,0,234,251
Dodoma,Mpwapwa,Pwaga,PWAGA,Government,S.1570,0,0,0,0,0,8,51,70,107,141,132,130,79,132,72,65,34,16,20,4,495,566
Dodoma,Mpwapwa,Rudi,RUDI,Government,S.971,0,0,0,0,1,2,26,29,36,46,40,53,23,24,17,15,17,15,2,0,162,184
Dodoma,Mpwapwa,Ving'hawe,VING'HAWE,Government,S.1951,0,0,0,0,7,10,37,68,69,58,51,46,43,68,26,29,7,4,4,4,244,287
Dodoma,Mpwapwa,Wotta,WOTTA,Government,S.833,0,0,2,7,12,8,64,87,25,58,44,80,54,81,54,37,13,9,9,5,277,372
Geita,Bukombe,Bugelenga,IYOGELO,Government,S.2313,0,0,0,0,0,0,0,0,50,59,58,55,63,63,33,42,18,16,21,20,243,255
Geita,Bukombe,Bukombe,BUKOMBE,Government,S.2262,0,0,0,0,0,0,37,33,73,77,73,45,45,58,25,22,28,24,4,12,285,271
Geita,Bukombe,Bulangwa,EMINK,Non-Government,S.4994,0,1,7,7,12,23,19,25,23,22,23,10,5,1,0,0,0,0,0,0,89,89
Geita,Bukombe,Bulangwa,QUEEN OF APOSTLE USHIROMBO SEMINARI,Non-Government,S.1814,0,0,0,0,11,0,24,0,44,0,31,0,25,0,14,0,1,0,0,0,150,0
Geita,Bukombe,Bulangwa,USHIROMBO,Government,S.816,0,0,0,0,6,12,43,59,164,202,221,275,220,274,180,168,49,23,16,6,899,1019
Geita,Bukombe,Bulega,BULEGA,Government,S.2637,0,0,0,0,3,5,23,30,32,44,75,95,87,89,123,75,82,41,58,8,483,387
Geita,Bukombe,Busonzo,BUSONZO,Government,S.5128,0,0,0,0,0,2,3,8,21,24,27,43,33,40,31,24,12,8,17,4,144,153
Geita,Bukombe,Butinzya,BUTINZYA,Government,S.2636,0,0,0,0,1,0,2,6,12,31,44,70,80,86,101,56,68,54,70,27,378,330
Geita,Bukombe,Igulwa,DOTO BITEKO,Government,S.5536,0,0,0,0,3,8,18,22,17,31,23,24,12,7,4,3,0,0,0,0,77,95
Geita,Bukombe,Igulwa,GOLDLAND,Non-Government,S.3575,0,0,0,0,0,0,1,1,1,2,4,3,13,3,9,6,4,3,2,3,34,21
Geita,Bukombe,Iyogelo,BUSONGE,Government,S.4777,0,0,0,0,2,1,9,4,10,19,25,37,32,61,30,36,32,27,14,10,154,195
Geita,Bukombe,Katente,KATENTE,Government,S.3224,0,0,10,7,37,32,88,90,172,177,138,136,153,167,157,137,24,16,6,3,785,765
Geita,Bukombe,Katome,KATOME,Government,S.5533,0,0,0,0,0,0,0,3,8,11,6,18,13,15,10,10,7,1,2,0,46,58
Geita,Bukombe,Lyambamgongo,LYAMBAMGONGO,Government,S.3997,0,0,0,0,2,6,5,16,16,46,41,51,53,49,37,50,37,18,7,2,198,238
Geita,Bukombe,Namonge,NAMONGE,Government,S.2634,0,0,3,5,8,19,26,31,48,54,104,122,121,142,135,91,112,75,86,28,643,567
Geita,Bukombe,Runzewe Magharibi,MUSASA,Government,S.3999,0,0,1,2,9,9,8,14,36,26,48,58,52,57,71,60,55,46,40,14,320,286
Geita,Bukombe,Runzewe Mashariki,MSONGA,Government,S.2638,0,0,0,0,42,49,39,42,96,86,80,71,83,91,103,46,67,42,28,6,538,433
Geita,Bukombe,Ushirombo,BUSINDA,Government,S.4776,0,0,0,0,1,3,15,43,67,89,120,208,174,197,164,124,114,78,26,8,681,750
Geita,Bukombe,Uyovu,RUNZEWE,Government,S.521,0,0,5,8,28,25,154,212,118,141,126,156,155,184,140,138,132,115,336,48,1194,1027
Geita,Bukombe,Uyovu,UYOVU,Government,S.2937,0,0,0,0,3,1,44,39,81,99,93,102,98,118,109,96,81,47,64,22,573,524
Geita,Chato,Bukome,BUZIRAYOMBO,Government,S.1896,0,0,35,18,41,20,70,60,21,22,30,38,48,50,59,57,64,55,85,45,453,365
Geita,Chato,Buseresere,BUSERESERE,Government,S.873,0,0,10,15,30,46,232,273,128,151,117,213,150,125,205,121,127,76,30,28,1029,1048
Geita,Chato,Buseresere,MAGS,Non-Government,S.5108,0,0,0,0,4,1,5,9,3,20,10,10,4,3,1,3,4,1,2,1,33,48
Geita,Chato,Buseresere,MURANDA-CHATO,Government,S.5394,0,0,0,0,1,0,10,9,21,24,60,70,57,62,77,58,48,19,0,0,274,242
Geita,Chato,Butengo rumasa,BUTENGORUMASA,Government,S.4038,0,0,0,0,15,12,48,33,55,48,63,74,82,79,112,64,70,35,10,5,455,350
Geita,Chato,Buziku,SUMAYE-BUZIKU,Government,S.954,0,0,0,0,4,10,27,40,91,84,127,125,96,97,72,68,54,22,27,10,498,456
Geita,Chato,Bwanga,BWANGA,Government,S.3019,0,0,0,20,27,90,56,111,193,97,114,125,162,110,177,131,69,21,18,1,816,706
Geita,Chato,Bwanga,MAGUFULI,Government,S.4289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,100,0,200,0,328,0
Geita,Chato,Bwera,BWERA,Government,S.3020,0,0,0,1,0,1,17,16,36,51,63,67,79,91,71,46,57,26,26,7,349,306
Geita,Chato,Bwina,BWINA,Government,S.4291,0,0,1,0,12,12,21,34,47,59,65,55,52,49,35,30,50,2,60,0,343,241
Geita,Chato,Bwongera,BWONGERA,Government,S.3772,0,0,0,2,0,8,20,29,50,76,88,71,69,50,76,51,47,24,43,12,393,323
Geita,Chato,Chato,CHATO,Government,S.473,0,0,10,16,52,65,121,139,178,190,138,170,149,96,138,83,153,29,200,34,1139,822
Geita,Chato,Chato,EMAU GIRLS,Non-Government,S.4884,0,0,0,1,3,5,12,13,6,20,8,19,8,10,2,6,1,1,1,0,41,75
Geita,Chato,Ichwankima,ICHWANKIMA,Government,S.3022,0,0,0,0,3,3,13,21,21,41,37,44,47,41,48,53,22,27,29,6,220,236
Geita,Chato,Ilemela,ILEMELA,Government,S.2108,0,0,0,1,8,6,12,12,29,48,59,49,34,45,28,23,25,13,7,6,202,203
Geita,Chato,Ilyamchele,ILYAMCHELE,Government,S.4931,0,0,0,0,0,1,3,3,6,8,24,29,24,22,30,18,26,11,30,9,143,101
Geita,Chato,Iparamasa,IPARAMASA,Government,S.3487,0,0,10,12,31,40,100,100,7,15,35,85,52,82,68,58,51,15,32,10,386,417
Geita,Chato,Iparamasa,MNEKEZI,Government,S.3773,0,0,0,0,0,0,5,11,33,41,49,45,71,34,40,9,24,8,9,0,231,148
Geita,Chato,kachwamba,BUHINGO CHATO,Government,S.4571,0,0,0,0,0,0,1,1,11,19,20,46,48,57,46,50,42,36,17,2,185,211
Geita,Chato,Kasenga,KACHWAMBA,Government,S.3023,0,0,17,3,20,5,81,71,22,17,31,26,39,30,41,42,32,28,20,16,303,238
Geita,Chato,Katende,KATENDE,Government,S.1129,0,0,0,0,9,4,20,14,20,21,31,35,37,22,14,22,12,5,3,4,146,127
Geita,Chato,Kigongo,KIGONGO,Government,S.3021,0,0,0,0,5,22,32,58,40,48,100,69,162,87,99,95,89,74,60,28,587,481
Geita,Chato,Kigongo,RUBONDO,Government,S.5227,0,0,0,0,16,13,53,48,78,79,81,62,33,32,30,7,9,1,11,1,311,243
Geita,Chato,Makurugusi,MAKURUGUSI,Government,S.2107,0,0,0,0,3,1,13,20,60,66,121,109,99,83,87,51,63,30,52,19,498,379
