Region,Council,Ward,School,Reg.No.,NECTA Exam Centre No.,School Ownership,Latitude,Longitude,Form 1-M,Form 1-F,Form 2-M,Form 2-F,Form 3-M,Form 3-F,Form 4-M,Form 4-F,Form 5-M,Form 5-F,Form 6-M,Form 6-F,M-Total,F-Total,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Regist. Cand. 2021,Clean Cand. 2021,Passed Cand. (I to IV) 2021,Average GPA 2021,Band of School 2021,Band of School 2020,Rank of School 2021,Rank of School 2020,Number of Candidates
Mbeya,Rungwe,Makandana,NDEMBELA ONE,S.5313,S5956,Government,-9.257487,33.626918,78,79,76,78,46,50,0,0,0,0,0,0,200,207,8,9,8,9,24,24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mbeya,Rungwe,Malindo,IBUNGILA,S.894,S1052,Non-Government,-9.2663875,33.6448676,2,5,18,16,12,22,20,28,0,0,0,0,52,71,9,3,9,3,10,10,55,51,47,3.5265,6,5,1001,652,40 and More
Mbeya,Rungwe,Malindo,KAPUGI,S.2252,S3816,Government,-9.317603,33.59353,63,61,55,63,39,62,49,54,0,0,0,0,206,240,15,5,15,5,22,22,62,58,56,3.483,5,6,934,991,40 and More
Mbeya,Rungwe,Masebe,KALENGO,S.4988,S5600,Government,-9.3081311,33.6553567,40,38,28,30,26,27,17,35,0,0,0,0,111,130,7,4,7,4,22,22,42,42,40,4.0085,7,6,2831,2525,40 and More
Mbeya,Rungwe,Masoko,MASOKO,S.1252,S1630,Government,-9.2930043,33.6644767,55,74,45,67,30,41,25,43,0,0,0,0,155,225,21,1,21,1,17,17,70,70,50,4.2124,7,7,3612,2612,40 and More
Mbeya,Rungwe,Masukulu,MASUKULU,S.3184,S3438,Government,-9.399966,33.75937,102,106,77,82,54,49,61,48,0,0,0,0,294,285,17,8,17,8,23,23,77,75,74,3.72,6,6,1555,1697,40 and More
Mbeya,Rungwe,Matwebe,KIMAMMPE,S.4150,S4614,Government,-9.4846439,33.8760327,20,23,27,16,9,24,14,28,0,0,0,0,70,91,12,0,12,0,13,13,34,34,32,3.8925,6,6,612,617,Less than 40
Mbeya,Rungwe,Mpuguso,MPUGUSO,S.1255,S1576,Government,-9.3140533,33.6612817,129,152,143,162,126,145,116,126,0,0,0,0,514,585,33,20,33,20,21,21,276,266,246,3.6208,6,6,1241,968,40 and More
Mbeya,Rungwe,Mpuguso,SEME MOTHERLAND,S.5714,S6413,Non-Government,-9.310684,33.668996,0,4,6,3,0,0,0,0,0,0,0,0,6,7,6,1,6,1,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mbeya,Rungwe,Ndanto,NDANTO,S.5078,S5685,Government,-9.116788,33.5460329,88,122,84,93,52,73,52,77,0,0,0,0,276,365,19,8,19,8,24,24,118,113,112,3.8034,6,0,1881,0,40 and More
Mbeya,Rungwe,Ndanto,WASICHANA JOY,S.5612,S6302,Non-Government,-8.9555,39.3,0,45,0,0,0,0,0,0,0,0,0,0,0,45,6,3,6,3,5,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mbeya,Rungwe,Nkunga,NKUNGA,S.1644,S2283,Government,-9.2262916,33.520556,152,178,105,158,61,130,54,107,0,0,0,0,372,573,23,4,23,4,35,35,137,134,108,4.0397,7,7,2969,2642,40 and More
Mbeya,Rungwe,Suma,SUMA,S.2253,S3937,Government,-9.207435,33.692008,51,63,40,58,30,38,23,39,0,0,0,0,144,198,20,3,20,3,15,15,47,46,41,3.8849,6,7,2261,3555,40 and More
Mbeya,Rungwe,Swaya,ZIWA NGOSI,S.4252,S4406,Government,-9.0822949,33.51092166,64,59,29,58,37,43,23,27,0,0,0,0,153,187,17,5,17,5,15,15,46,44,33,4.2216,7,6,3637,643,40 and More
Kilimanjaro,Same,Bangalala,BANGALALA,S.795,S1056,Government,-4.237606,37.8548501,41,48,36,56,37,42,33,46,0,0,0,0,147,192,9,7,9,7,21,21,84,83,72,3.8683,6,6,2175,2176,40 and More
Kilimanjaro,Same,Bendera,BEMKO,S.1043,S1277,Government,-4.51821,38.0771347,54,49,63,61,42,54,58,53,0,0,0,0,217,217,13,11,13,11,18,18,96,96,84,3.8441,6,6,2070,1866,40 and More
Kilimanjaro,Same,Bombo,BOMBO,S.772,S1133,Government,-4,37,54,58,80,72,63,64,59,66,0,0,0,0,256,260,12,3,12,3,34,34,137,136,132,3.7337,6,6,1614,1593,40 and More
Kilimanjaro,Same,Bombo,DINDIMO,S.300,S0498,Non-Government,-4.2666667,38.05,0,0,0,0,0,3,6,4,0,0,0,0,6,7,4,1,4,1,3,3,13,12,10,4.2206,7,6,794,611,Less than 40
Kilimanjaro,Same,Bwambo,KIGANGO,S.1044,S1348,Government,-4.3813633,37.9412383,26,23,25,35,20,30,15,33,0,0,0,0,86,121,8,3,8,3,19,19,32,32,32,3.7469,6,5,524,717,Less than 40
Kilimanjaro,Same,Bwambo,PARENI,S.3892,S4863,Government,-4.40228,37.949293,32,38,32,39,26,30,29,27,0,0,0,0,119,134,12,1,12,1,19,19,62,61,58,3.9332,6,7,2481,3185,40 and More
Kilimanjaro,Same,Chome,CHALAO,S.554,S0916,Government,-4.260921,37.89562,59,60,64,52,39,37,52,40,0,0,0,0,214,189,12,7,12,7,21,21,81,81,77,3.6202,6,6,1240,1956,40 and More
Kilimanjaro,Same,Chome,CHOME,S.213,S0419,Non-Government,-4.220015,37.495999,1,5,7,1,7,1,18,27,0,0,2,1,35,35,11,2,11,2,5,5,42,42,41,3.5974,6,5,1180,222,40 and More
Kilimanjaro,Same,Chome,MENDIGOAL SANGANA GIRLS,S.5419,S6083,Non-Government,-4.220015,37.49599,0,6,0,0,0,0,0,0,0,0,0,0,0,6,2,3,2,3,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
