geo_id,year,water,internet,electricity,library,cafeteria
NIG-000186,2014,False,,False,,
NIG-000187,2014,False,,False,,
NIG-000188,2014,False,,False,,
NIG-000189,2014,True,,False,,
NIG-000190,2014,True,,True,,
NIG-000191,2014,False,,False,,
NIG-000192,2014,False,,False,,
NIG-000193,2014,True,,True,,
NIG-000194,2014,True,,False,,
NIG-000195,2014,True,,True,,
NIG-000196,2014,False,,False,,
NIG-000197,2014,True,,True,,
NIG-000198,2014,True,,True,,
NIG-000199,2014,False,,False,,
NIG-000200,2014,True,,False,,
NIG-000201,2014,False,,False,,
NIG-000202,2014,True,,False,,
NIG-000203,2014,True,,False,,
NIG-000204,2014,False,,False,,
NIG-000205,2014,True,,True,,
NIG-000206,2014,False,,False,,
NIG-000207,2014,False,,True,,
NIG-000208,2014,False,,False,,
NIG-000209,2014,False,,False,,
NIG-000210,2014,True,,False,,
NIG-000211,2014,True,,False,,
NIG-000212,2014,True,,False,,
NIG-000213,2014,False,,False,,
NIG-000214,2014,False,,False,,
NIG-000215,2014,False,,False,,
NIG-000216,2014,True,,False,,
NIG-000217,2014,True,,False,,
NIG-000218,2014,True,,False,,
NIG-000219,2014,False,,False,,
NIG-000220,2014,True,,False,,
NIG-000221,2014,False,,False,,
NIG-000222,2014,False,,False,,
NIG-000223,2014,True,,True,,
NIG-000225,2014,False,,False,,
NIG-000226,2014,False,,False,,
NIG-000227,2014,False,,False,,
NIG-000228,2014,True,,False,,
NIG-000229,2014,False,,False,,
NIG-000230,2014,False,,False,,
NIG-000231,2014,False,,False,,
NIG-000232,2014,False,,False,,
NIG-000233,2014,False,,False,,
NIG-000234,2014,False,,False,,
NIG-000235,2014,True,,False,,
NIG-000236,2014,False,,False,,
NIG-000237,2014,False,,False,,
NIG-000238,2014,False,,False,,
NIG-000239,2014,True,,False,,
NIG-000240,2014,False,,False,,
NIG-000241,2014,False,,False,,
NIG-000242,2014,False,,False,,
NIG-000243,2014,False,,False,,
NIG-000244,2014,False,,False,,
NIG-000245,2014,False,,False,,
NIG-000246,2014,False,,False,,
NIG-000247,2014,False,,False,,
NIG-000248,2014,False,,False,,
NIG-000249,2014,False,,True,,
NIG-000250,2014,True,,False,,
NIG-000251,2014,False,,False,,
NIG-000252,2014,False,,False,,
NIG-000253,2014,False,,False,,
NIG-000254,2014,False,,False,,
NIG-000255,2014,False,,False,,
NIG-000256,2014,True,,False,,
NIG-000257,2014,False,,False,,
NIG-000258,2014,True,,True,,
NIG-000259,2014,True,,False,,
NIG-000260,2014,True,,False,,
NIG-000261,2014,True,,False,,
NIG-000262,2014,True,,True,,
NIG-000263,2014,False,,True,,
NIG-000264,2014,False,,False,,
NIG-000265,2014,False,,False,,
NIG-000266,2014,False,,False,,
NIG-000267,2014,False,,False,,
NIG-000268,2014,False,,False,,
NIG-000269,2014,False,,False,,
NIG-000270,2014,True,,False,,
NIG-000271,2014,False,,False,,
NIG-000272,2014,False,,False,,
NIG-000273,2014,False,,False,,
NIG-000274,2014,False,,False,,
NIG-000275,2014,True,,False,,
NIG-000276,2014,False,,False,,
NIG-000277,2014,False,,False,,
NIG-000278,2014,True,,False,,
NIG-000280,2014,True,,False,,
NIG-000281,2014,False,,False,,
NIG-000282,2014,False,,False,,
NIG-000283,2014,False,,False,,
NIG-000284,2014,True,,False,,
NIG-000285,2014,True,,False,,
NIG-000286,2014,False,,False,,
NIG-000287,2014,True,,False,,
NIG-000288,2014,False,,False,,
NIG-000289,2014,True,,False,,
NIG-000290,2014,True,,False,,
NIG-000291,2014,True,,True,,
NIG-000292,2014,True,,False,,
NIG-000293,2014,True,,True,,
NIG-000294,2014,True,,True,,
NIG-000295,2014,True,,True,,
NIG-000296,2014,False,,False,,
NIG-000297,2014,False,,False,,
NIG-000298,2014,True,,True,,
NIG-000299,2014,True,,False,,
NIG-000300,2014,True,,True,,
NIG-000301,2014,True,,True,,
NIG-000302,2014,True,,True,,
NIG-000303,2014,False,,True,,
NIG-000304,2014,False,,False,,
NIG-000305,2014,False,,False,,
NIG-000306,2014,False,,False,,
NIG-000307,2014,False,,False,,
NIG-000308,2014,False,,False,,
NIG-000309,2014,False,,False,,
