geo_id,year,deped_id,water,internet,electricity,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
HND-006244,2011,70300146,1,0,0,0,,,,
HND-006469,2011,70300591,0,0,0,0,,,,
HND-006274,2011,70300183,,,,,,,,
HND-006151,2011,70300043,1,0,1,0,,,,
HND-006237,2011,70300139,1,0,1,0,,,,
HND-006413,2011,70300401,0,0,0,0,,,,
HND-006291,2011,70300207,1,0,1,0,,,,
HND-006298,2011,70300214,1,0,0,0,,,,
HND-007231,2011,71900043,0,0,0,0,,,,
HND-007301,2011,71900129,0,0,1,0,,,,
HND-007298,2011,71900125,0,0,0,0,,,,
HND-007213,2011,71900024,0,0,0,0,,,,
HND-007218,2011,71900029,1,0,0,0,,,,
HND-007351,2011,71900241,0,0,0,0,,,,
HND-007247,2011,71900061,1,0,1,0,,,,
HND-007384,2011,71900337,,,,,,,,
HND-007215,2011,71900026,0,0,0,0,,,,
HND-007240,2011,71900052,0,0,0,0,,,,
HND-006411,2011,70300397,0,0,0,0,,,,
HND-006504,2011,70300749,1,0,0,0,,,,
HND-006397,2011,70300374,0,0,0,0,,,,
HND-006118,2011,70300006,1,0,1,0,,,,
HND-006135,2011,70300025,1,0,1,0,,,,
HND-006179,2011,70300075,0,0,1,0,,,,
HND-006492,2011,70300692,,0,,0,,,,
HND-006264,2011,70300167,1,0,1,0,,,,
HND-006418,2011,70300407,1,0,0,0,,,,
HND-006137,2011,70300027,1,0,0,0,,,,
HND-006292,2011,70300208,1,0,0,0,,,,
HND-006374,2011,70300325,0,0,0,0,,,,
HND-006327,2011,70300251,1,0,0,0,,,,
HND-006235,2011,70300136,1,0,1,0,,,,
HND-006188,2011,70300084,1,0,1,0,,,,
HND-006325,2011,70300249,0,0,1,0,,,,
HND-006232,2011,70300133,1,0,1,0,,,,
HND-006369,2011,70300316,1,0,1,0,,,,
HND-006489,2011,70300688,,0,,0,,,,
HND-006140,2011,70300030,0,0,1,0,,,,
HND-007324,2011,71900155,,0,,0,,,,
HND-007375,2011,71900313,,0,,0,,,,
HND-007385,2011,71900343,,,,,,,,
HND-007256,2011,71900070,1,0,1,0,,,,
HND-007222,2011,71900034,1,0,0,0,,,,
HND-007233,2011,71900045,0,0,0,0,,,,
HND-007387,2011,71900395,,,,,,,,
HND-007302,2011,71900130,0,0,0,0,,,,
HND-007216,2011,71900027,0,0,0,0,,,,
HND-007333,2011,71900166,0,0,0,0,,,,
HND-006510,2011,70300769,,,,,,,,
HND-006403,2011,70300387,,,,,,,,
HND-006301,2011,70300217,1,0,1,0,,,,
HND-006255,2011,70300157,0,0,0,0,,,,
HND-006297,2011,70300213,1,0,1,1,,,,
HND-006395,2011,70300371,1,0,1,0,,,,
HND-006480,2011,70300647,,0,,0,,,,
HND-006148,2011,70300040,1,0,1,0,,,,
HND-006457,2011,70300558,1,0,1,0,,,,
HND-006208,2011,70300107,0,0,0,0,,,,
HND-006467,2011,70300589,1,0,0,0,,,,
HND-007210,2011,71900021,1,0,0,0,,,,
HND-007220,2011,71900031,0,0,0,0,,,,
HND-006302,2011,70300218,0,0,0,0,,,,
HND-006117,2011,70300005,1,0,0,0,,,,
