geo_id,year,deped_id,water,internet,electricity,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
KHM-000000,2014,1020101005.0,0,,,,,,,
KHM-000001,2014,1020103001.0,0,,,,,,,
KHM-000002,2014,1020105008.0,0,,,,,,,
KHM-000003,2014,1020106006.0,0,,,,,,,
KHM-000004,2014,1020107084.0,0,,,,,,,
KHM-000005,2014,1020109003.0,0,,,,,,,
KHM-000006,2014,1020112002.0,1,,,,,,,
KHM-000007,2014,1020115007.0,0,,,,,,,
KHM-000008,2014,1020118004.0,0,,,,,,,
KHM-000009,2014,1020203009.0,0,,,,,,,
KHM-000010,2014,1020209010.0,1,,,,,,,
KHM-000011,2014,1020303078.0,0,,,,,,,
KHM-000012,2014,1020305012.0,0,,,,,,,
KHM-000013,2014,1020309016.0,0,,,,,,,
KHM-000014,2014,1020311013.0,1,,,,,,,
KHM-000015,2014,1020312011.0,0,,,,,,,
KHM-000016,2014,1020313014.0,1,,,,,,,
KHM-000017,2014,1020317015.0,0,,,,,,,
KHM-000018,2014,1020318080.0,0,,,,,,,
KHM-000019,2014,1020402019.0,0,,,,,,,
KHM-000020,2014,1020404018.0,0,,,,,,,
KHM-000021,2014,1020406017.0,0,,,,,,,
KHM-000022,2014,1020408020.0,0,,,,,,,
KHM-000023,2014,1020501022.0,0,,,,,,,
KHM-000024,2014,1020503023.0,0,,,,,,,
KHM-000025,2014,1020506021.0,0,,,,,,,
KHM-000026,2014,1020508024.0,1,,,,,,,
KHM-000027,2014,1020602028.0,0,,,,,,,
KHM-000028,2014,1020605029.0,1,,,,,,,
KHM-000029,2014,1020608026.0,0,,,,,,,
KHM-000030,2014,1020609027.0,0,,,,,,,
KHM-000031,2014,1020611025.0,0,,,,,,,
KHM-000032,2014,1020612079.0,1,,,,,,,
KHM-000033,2014,1020613030.0,1,,,,,,,
KHM-000034,2014,1020614031.0,1,,,,,,,
KHM-000035,2014,1020701034.0,0,,,,,,,
KHM-000036,2014,1020704033.0,0,,,,,,,
KHM-000037,2014,1020705032.0,0,,,,,,,
KHM-000038,2014,1020707035.0,0,,,,,,,
KHM-000039,2014,1020708036.0,0,,,,,,,
KHM-000040,2014,1020710037.0,0,,,,,,,
KHM-000041,2014,1020801043.0,0,,,,,,,
KHM-000042,2014,1020803045.0,1,,,,,,,
KHM-000043,2014,1020808044.0,0,,,,,,,
KHM-000044,2014,1020809042.0,0,,,,,,,
KHM-000045,2014,1020810038.0,0,,,,,,,
KHM-000046,2014,1020811041.0,1,,,,,,,
KHM-000047,2014,1020812040.0,0,,,,,,,
KHM-000048,2014,1020813039.0,0,,,,,,,
KHM-000049,2014,1020901046.0,0,,,,,,,
KHM-000050,2014,1020902052.0,0,,,,,,,
KHM-000051,2014,1020903054.0,0,,,,,,,
