code_etablissement,CRE,delegation,nom_etablissement,Type,cre_ar,delagation_ar,code_auto,nom_etablissement_ar,region_ar,cycle_ar,Latitude initiale,Longitude initiale
40622709,Tataouine,TATAOUINE SUD,L. AB.K.CHABBI TATAOUINE SUD,LYCEE,تطاوين,تطاوين الجنوبية,622709,معهدأبو القاسم الشابي تطاوين الجنوبية,,معهد,32.92200073591985,10.432854294776917
20623001,Tataouine,GHOMRASSEN,E.PREP.IBN ARAFA GHOMRASSEN,E.PREP,تطاوين,غمراسن,623001,م.إ.  ابن عرفة بغمراسن,,اعدادي,33.05489813393281,10.33001571893692
40623002,Tataouine,GHOMRASSEN,L.2 MARS 34 GHOMRASSEN,LYCEE,تطاوين,غمراسن,623002,معهد 2 مارس 34 غمراسن,,معهد,33.05487955422739, 10.329893867129499
20623003,Tataouine,GHOMRASSEN,E.PREP.GHOMRASSEN,E.PREP,تطاوين,غمراسن,623003,م.إ.  بغمراسن,,اعدادي,33.067236,10.322328
20623005,Tataouine,GHOMRASSEN,E.PREP.EL FARCH GHOMRASSEN,E.PREP,تطاوين,غمراسن,623005,م.إ.  الفرش غمراسن,,اعدادي,32.97093246081085,10.349634249706241
40623006,Tataouine,GHOMRASSEN,L. GHOMRASSEN,LYCEE,تطاوين,غمراسن,623006,معهد   غـمـراسـن,,معهد,33.04418024632169, 10.311630705947096
40623501,Tataouine,REMADA,L. REMADA,LYCEE,تطاوين,رمادة,623501,معهد  رمادة,,معهد,32.32450572476964, 10.388765672797392
20623502,Tataouine,REMADA,E.PREP.ROUTE OMM SOUIGH REMADA,E.PREP,تطاوين,رمادة,623502,م.إ.  طريق أم صويغ برمادة,,اعدادي,32.311026114673794,10.406732261180878
40624001,Tataouine,SMAR,L. SMAR,LYCEE,تطاوين,الصمار,624001,معهد  السمـار,,معهد,36.8333284,10.1574074
20624003,Tataouine,SMAR,E.PREP.AHD JEDID SMAR,E.PREP,تطاوين,الصمار,624003,المدرسة الإعدادية بالـسـمـار,,اعدادي,33.00545013055727,10.812044888734818
40624002,Tataouine,BENI MHIRA,L.BENI M'HIRA,LYCEE,تطاوين,بني مهيرة,624002,معهد بني مهيرة,,معهد,32.871325622774144, 10.846369306201154
20624010,Tataouine,BENI MHIRA,E.PREP.KSAR OULAD OUN,E.PREP,تطاوين,بني مهيرة,624010,م . إ . قصر أولاد عون ,,اعدادي,32.87681916225239,11.08245849609375
