"anio","codigo_establecimiento","codigo_departamento","nombre_departamento","codigo_distrito","nombre_distrito","codigo_zona","nombre_zona","codigo_barrio_localidad","nombre_barrio_localidad","codigo_institucion","nombre_institucion","sector_o_tipo_gestion","anho_cod_geo","primer_grado_hombre","primer_grado_mujer","segundo_grado_hombre","segundo_grado_mujer","tercer_grado_hombre","tercer_grado_mujer","cuarto_grado_hombre","cuarto_grado_mujer","quinto_grado_hombre","quinto_grado_mujer","sexto_grado_hombre","sexto_grado_mujer","septimo_grado_hombre","septimo_grado_mujer","octavo_grado_hombre","octavo_grado_mujer","noveno_grado_hombre","noveno_grado_mujer","total_matriculados_hombre","total_matriculados_mujer"
"2012","1701014","17","ALTO PARAGUAY","1704","BAHIA NEGRA","6","RURAL","1704180","ZONA BAHIA NEGRA POTY","2604","14500","OFICIAL","2012","4","6","4","5","3","2","2","4","3","1","2","2","0","0","0","0","0","0","18","20"
"2012","1703003","17","ALTO PARAGUAY","1704","BAHIA NEGRA","6","RURAL","1704160","SIERRA LEON","6078","2261 COLONIA SIERRA LEON","OFICIAL","2012","3","3","2","3","2","2","1","3","1","3","2","2","0","0","0","0","0","0","11","16"
"2012","1701007","17","ALTO PARAGUAY","1704","BAHIA NEGRA","6","RURAL","1704180","ZONA BAHIA NEGRA POTY","3108","2483","OFICIAL","2012","14","9","14","9","9","12","17","16","8","7","8","12","5","8","3","5","5","6","83","84"
"2012","1701005","17","ALTO PARAGUAY","1704","BAHIA NEGRA","1","URBANA","1704001","CENTRAL","3265","419 TTE. 1RO. ROJAS SILVA","OFICIAL","2012","12","10","8","8","15","11","11","9","8","11","12","5","0","0","0","0","0","0","66","54"
"2012","1701006","17","ALTO PARAGUAY","1704","BAHIA NEGRA","6","RURAL","1704180","ZONA BAHIA NEGRA POTY","3120","5825 (11770)","OFICIAL","2012","16","7","8","12","14","8","8","7","5","13","4","8","5","9","4","9","0","0","64","73"
"2012","1701005","17","ALTO PARAGUAY","1704","BAHIA NEGRA","1","URBANA","1704001","CENTRAL","2352","TENIENTE 1є ADOLFO ROJAS SILVA","OFICIAL","2012","0","0","0","0","0","0","0","0","0","0","0","0","9","13","7","13","9","7","25","33"
"2012","1702007","17","ALTO PARAGUAY","1705","CARMELO PERALTA","1","URBANA","1705002","VIRGEN DEL CARMEN","9342","1268 PDT.CARLOS A. LOPEZ","OFICIAL","2012","19","9","10","6","8","13","19","21","11","23","6","8","0","0","0","0","0","0","73","80"
"2012","1702006","17","ALTO PARAGUAY","1705","CARMELO PERALTA","6","RURAL","1705210","PUERTO GUARANI - SUB URBANO","10106","1456 DOMINGO M. DE IRALA","OFICIAL","2012","16","13","7","13","16","8","10","11","17","9","10","9","0","0","0","0","0","0","76","63"
"2012","1702010","17","ALTO PARAGUAY","1705","CARMELO PERALTA","6","RURAL","1705200","ISLA MARGARITA","8770","596 PROF. DR. LUIS MARIA ARGAСA","OFICIAL","2012","5","4","1","4","5","3","1","1","3","3","3","3","0","0","0","0","0","0","18","18"
"2012","1702018","17","ALTO PARAGUAY","1705","CARMELO PERALTA","6","RURAL","1705180","COM INDIG CUCAANI","6261","6253 CHAMAQUEI CHIQUENO - LOCAL. ISLA AL","OFICIAL","2012","3","3","0","0","2","2","3","3","0","0","0","0","0","0","0","0","0","0","8","8"
