geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
ARG-000044,60009700,INSTITUTO PRIVADO JUAN B. ALBERDI,,ARG,Buenos Aires,MORON,
ARG-000045,60010200,ESCUELA DE EDUCACIÓN PRIMARIA Nº75 DR.ADOLFO ALSINA,,ARG,Buenos Aires,MORON,
ARG-000046,60010300,ESCUELA DE EDUCACIÓN PRIMARIA Nº3 PAULA ALBARRACIN DE SARMIENTO,,ARG,Buenos Aires,JOSE C. PAZ,
ARG-000047,60010400,INSTITUTO SAN EDUARDO,,ARG,Buenos Aires,JOSE C. PAZ,
ARG-000048,60010500,ESCUELA DE EDUCACIÓN PRIMARIA Nº10 PROVINCIA DE CORRIENTES,,ARG,Buenos Aires,LOBERIA,
ARG-000049,60010600,ESCUELA DE EDUCACIÓN PRIMARIA Nº6 NUESTRA SEÑORA DEL CARMEN,,ARG,Buenos Aires,LOBERIA,
ARG-000050,60010800,COLEGIO ARZOBISPO JOSÉ ANTONIO DE SAN ALBERTO,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000051,60011000,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2 MANUEL MATEO,,ARG,Buenos Aires,SAN VICENTE,
ARG-000052,60011300,INSTITUTO NUESTRA SEÑORA DE LOURDES,,ARG,Buenos Aires,ITUZAINGO,
ARG-000053,60012100,INSTITUTO CULTURAL ROCA,,ARG,Buenos Aires,HURLINGHAM,
ARG-000054,60012300,ESCUELA DE EDUCACIÓN PRIMARIA Nº5 GRANADEROS DE SAN MARTIN,,ARG,Buenos Aires,HURLINGHAM,
ARG-000055,60012500,COLEGIO AMERICANO,,ARG,Buenos Aires,ITUZAINGO,
ARG-000056,60012600,CENTRO EDUCATIVO SIGLO 21,,ARG,Buenos Aires,ITUZAINGO,
ARG-000057,60012700,CENTRO EDUCATIVO SIGLO 21,,ARG,Buenos Aires,ITUZAINGO,
ARG-000058,60012900,ESCUELA NUESTRA SEÑORA DEL PILAR,,ARG,Buenos Aires,ITUZAINGO,
ARG-000059,60013200,INSTITUTO WILLIAM MORRIS,,ARG,Buenos Aires,MORON,
ARG-000060,60013300,INSTITUTO WILLIAM MORRIS,,ARG,Buenos Aires,MORON,
ARG-000061,60013400,ESCUELA DE EDUCACIÓN SECUNDARIA Nº7,,ARG,Buenos Aires,GENERAL PUEYRREDON,
ARG-000062,60013500,ESCUELA ALMAFUERTE,,ARG,Buenos Aires,SAN MIGUEL,
ARG-000063,60013600,COLEGIO LAS MARIAS,,ARG,Buenos Aires,SAN MIGUEL,
ARG-000064,60013700,ESCUELA DE EDUCACIÓN PRIMARIA Nº2 BERNARDINO RIVADAVIA,,ARG,Buenos Aires,SAN MIGUEL,
ARG-000065,60014000,ESCUELA MUNICIPAL FEDERICO WENCESLAO GANDARA,,ARG,Buenos Aires,CHASCOMUS,
ARG-000066,60014100,ESCUELA DE EDUCACIÓN PRIMARIA Nº9 REMEDIOS DE ESCALADA,,ARG,Buenos Aires,CHASCOMUS,
ARG-000067,60014300,ESCUELA DE EDUCACIÓN PRIMARIA Nº63 GENARO BERON DE ASTRADA,,ARG,Buenos Aires,MORON,
ARG-000068,60014600,ESCUELA DE EDUCACIÓN PRIMARIA Nº105 REPUBLICA DE ITALIA,,ARG,Buenos Aires,MORON,
ARG-000069,60014800,ESCUELA DE EDUCACIÓN PRIMARIA Nº15 NUESTRA SEÑORA DE LAS MERCEDES,,ARG,Buenos Aires,MORON,
