geo_id,deped_id,school_name
BHR-000229,230,AʻALI PRIMARY BOYS SCHOOL
BHR-000230,231,ABDULRAHMAN AL NASSER PRIMARY & INTERMEDIATE BOYS SCHOOL
BHR-000231,232,ABDULRAHMAN ALDAKHIL INTERMEDIATE BOYS SCHOOL
BHR-000232,233,ABU AL AALA AL MAARI PRIMARY BOYS SCHOOL
BHR-000233,234,ABU AUBAYDAH AL JARRAH PRIMARY BOYS SCHOOL
BHR-000234,235,ABU BAKER AL SIDDIQ PRIMARY BOYS SCHOOL
BHR-000235,236,ABU FERAS ALHAMADANY PRIMARY BOYS SCHOOL
BHR-000236,237,ABU SAIBEA PRIMARY BOYS SCHOOL
BHR-000237,238,AHMED AL FATEH PRIMARY & INTERMEDIATE BOYS SCHOOL
BHR-000238,239,AHMED AL OMRAN SECONDARY BOYS SCHOOL
BHR-000239,240,AL ALAA AL HADHRAMI PRIMARY BOYS SCHOOL
BHR-000240,241,AL BUDAIYA PRIMARY BOYS SCHOOL
BHR-000241,242,AL BUSAITEEN PRIMARY BOYS SCHOOL
BHR-000242,243,AL DAIR PRIMARY BOYS SCHOOL
BHR-000243,244,AL DHIYAA PRIMARY BOYS SCHOOL
BHR-000244,245,AL DIRAZ INTERMEDIATE BOYS SCHOOL
BHR-000245,246,AL EMAM ALGHAZALI INTERMEDIATE BOYS SCHOOL
BHR-000246,247,AL EMAM ALI PRIMARY & INTERMEDIATE BOYS SCHOOL
BHR-000247,248,AL EMAM ALTABARI PRIMARY BOYS SCHOOL
BHR-000248,249,AL EMAM MALEK BIN ANAS PRIMARY BOYS SCHOOL
BHR-000249,250,AL FARABI INTERMEDIATE BOYS SCHOOL
BHR-000250,251,AL HIDAYAH AL KHALIFA SECONDARY BOYS SCHOOL
BHR-000251,252,AL JASRAH PRIMARY BOYS SCHOOL
BHR-000252,253,AL JAZEERA PRIMARY BOYS SCHOOL
BHR-000253,254,AL KHALIL BIN AHMED INTERMEDIATE BOYS SCHOOL
BHR-000254,255,AL KHAMIS PRIMARY BOYS SCHOOL
BHR-000255,256,AL KHAWAREZMY PRIMARY BOYS SCHOOL
BHR-000256,257,AL MAMOON PRIMARY BOYS SCHOOL
BHR-000257,258,AL MUHARRAQ SECONDARY BOYS SCHOOL
BHR-000258,259,AL MUNTHER BIN SAWI ALTEMEEMY PRIMARY BOYS SCHOOL
BHR-000259,260,AL RAWDAH PRIMARY BOYS SCHOOL
BHR-000260,261,AL RAZI PRIMARY BOYS SCHOOL
BHR-000261,262,AL SEHLA PRIMARY & INTERMEDIATE BOYS SCHOOL
BHR-000262,263,AL WADI PRIMARY BOYS SCHOOL
BHR-000263,264,AL WEHDA SECONDARY BOYS SCHOOL
BHR-000264,265,AL YARMOUK PRIMARY BOYS SCHOOL
BHR-000265,266,AL ZALLAQ PRIMARY & INTERMEDIATE BOYS SCHOOL
BHR-000266,267,ALJABERIYA SECONDARY TECHNICAL BOYS SCHOOL
BHR-000267,268,ALMUTANABI PRIMARY BOYS SCHOOL
BHR-000268,269,ALRASHEED PRIMARY BOYS SCHOOL
BHR-000269,270,ALSALMANIYA INTERMEDIATE BOYS SCHOOL
BHR-000270,271,ALSANABIS PRIMARY BOYS SCHOOL
BHR-000271,272,ALTAAWON SECONDARY BOYS SCHOOL
BHR-000272,273,AMMAR BEN YASER PRIMARY BOYS SCHOOL
BHR-000273,274,AQBAH BIN NAFEA PRIMARY BOYS SCHOOL
BHR-000274,275,ARAD PRIMARY & INTERMEDIATE BOYS SCHOOL
BHR-000275,276,ARAD PRIMARY BOYS SCHOOL
BHR-000276,277,ASKAR PRIMARY & INTERMEDIATE BOYS SCHOOL
BHR-000277,278,AWAL INTERMEDIATE BOYS SCHOOL
BHR-000278,279,BADER AL KUBRA PRIMARY BOYS SCHOOL
BHR-000279,280,BAHRAIN PROFESSIONAL SECONDARY BOYS SCHOOL
BHR-000280,281,BAR BAR PRIMARY BOYS SCHOOL
BHR-000281,282,BILAD ALQADIM INTERMEDIATE BOYS SCHOOL
BHR-000282,283,BURI PRIMARY BOYS SCHOOL
BHR-000283,284,EAST RIFFA PRIMARY BOYS SCHOOL
BHR-000284,285,EAST RIFFA SECONDARY BOYS SCHOOL
BHR-000285,286,HAMAD TOWN INTERMEDIATE BOYS SCHOOL
BHR-000286,287,HAMAD TOWN PRIMARY BOYS SCHOOL
BHR-000287,288,HAMAD TOWN SECONDARY BOYS SCHOOL
BHR-000288,289,HASAAN BIN THABIT PRIMARY BOYS SCHOOL
BHR-000289,290,HATTEEN PRIMARY BOYS SCHOOL
BHR-000290,291,HIDD PRIMARY & INTERMEDIATE BOYS SCHOOL
BHR-000291,292,HIDD PRIMARY BOYS SCHOOL
BHR-000292,293,IBN AL NAFIS PRIMARY BOYS SCHOOL
BHR-000293,294,IBN ROSHD INTERMEDIATE BOYS SCHOOL
BHR-000294,295,IBN SINA PRIMARY BOYS SCHOOL
BHR-000295,296,IBN TUFAIL PRIMARY BOYS SCHOOL
BHR-000296,297,ISA TOWN INTERMEDIATE BOYS SCHOOL
BHR-000297,298,ISA TOWN PRIMARY BOYS SCHOOL
BHR-000298,299,ISA TOWN SECONDARY BOYS SCHOOL
BHR-000299,300,JAAFARI RELIGIOUS INSTITUTE
BHR-000300,301,JABER BIN HAYAN PRIMARY BOYS SCHOOL
BHR-000301,302,JIDHAFS INTERMEDIATE BOYS SCHOOL
BHR-000302,303,JIDHAFS PRIMARY BOYS SCHOOL
BHR-000303,304,JIDHAFS SECONDARY TECHNICAL BOYS SCHOOL
BHR-000304,305,KARZAKKAN PRIMARY BOYS SCHOOL
