geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
CRI-003936,,CABO BLANCO,,CRI,PUNTARENAS,PUNTARENAS,LEPANTO
CRI-003937,,CANAÁN,,CRI,SAN JOSE,PEREZ ZELEDON,RIVAS
CRI-003938,,EL PROGRESO,,CRI,PUNTARENAS,OSA,BAHIA DRAKE
CRI-003939,,LOAIZA,,CRI,CARTAGO,PARAISO,CACHI
CRI-003940,,CRISTO REY,,CRI,SAN JOSE,PEREZ ZELEDON,SAN PEDRO
CRI-003941,,QUEBRADA BONITA,,CRI,PUNTARENAS,BUENOS AIRES,CHANGUENA
CRI-003942,,SAN ANTONIO,,CRI,HEREDIA,SARAPIQUI,LLANURAS DEL GASPAR
CRI-003943,,LOS ANGELES,,CRI,SAN JOSE,PURISCAL,CHIRES
CRI-003944,,LA TIGRA,,CRI,PUNTARENAS,PUNTARENAS,LEPANTO
CRI-003945,,EL PROGRESO,,CRI,GUANACASTE,SANTA CRUZ,CUAJINIQUIL
CRI-003946,,COTO 45,,CRI,PUNTARENAS,CORREDORES,CORREDOR
CRI-003947,,LA VIRGEN,,CRI,PUNTARENAS,BUENOS AIRES,COLINAS
CRI-003948,,MALLAL,,CRI,PUNTARENAS,BUENOS AIRES,COLINAS
CRI-003949,,LOS ANGELES DE LA VIRGEN,,CRI,HEREDIA,SARAPIQUI,LA VIRGEN
CRI-003950,,ÑORIBATA,,CRI,CARTAGO,TURRIALBA,CHIRRIPO
CRI-003951,,SANTA RITA,,CRI,ALAJUELA,OROTINA,COYOLAR
CRI-003952,,LA ISLITA,,CRI,GUANACASTE,NANDAYURE,BEJUCO
CRI-003953,,QUEBRADA DE NANDO,,CRI,GUANACASTE,NANDAYURE,BEJUCO
CRI-003954,,TIERRAS MORENAS,,CRI,PUNTARENAS,AGUIRRE,SAVEGRE
CRI-003955,,LA FLOR,,CRI,CARTAGO,TURRIALBA,TRES EQUIS
CRI-003956,,REPUBLICA DE PARAGUAY,,CRI,SAN JOSE,PURISCAL,DESAMPARADITOS
CRI-003957,,BARBUDAL,,CRI,GUANACASTE,ABANGARES,COLORADO
CRI-003958,,LAS TRENZAS,,CRI,PUNTARENAS,GOLFITO,GOLFITO
CRI-003959,,PUEBLO NUEVO,,CRI,GUANACASTE,NANDAYURE,BEJUCO
CRI-003960,,EL LLANO,,CRI,SAN JOSE,PEREZ ZELEDON,RIO NUEVO
CRI-003961,,EL CAS,,CRI,CARTAGO,TURRIALBA,SANTA TERESITA
CRI-003962,,RINCÓN DE LA CRUZ,,CRI,GUANACASTE,BAGACES,MOGOTE
CRI-003963,,CAÑA BLANCA,,CRI,PUNTARENAS,OSA,PALMAR
CRI-003964,,PASO REAL,,CRI,ALAJUELA,SAN CARLOS,POCOSOL
CRI-003965,,BOCANA,,CRI,SAN JOSE,PURISCAL,MERCEDES SUR
CRI-003966,,CAMARONAL,,CRI,PUNTARENAS,PUNTARENAS,LEPANTO
CRI-003967,,LEANDRO FONSECA NARANJO,,CRI,SAN JOSE,DESAMPARADOS,ROSARIO
CRI-003968,,ZONCUANO,,CRI,SAN JOSE,ACOSTA,SABANILLAS
CRI-003969,,NOSARITA,,CRI,GUANACASTE,NICOYA,NOSARA
CRI-003970,,MONTERREY,,CRI,LIMON,POCOCI,CARIARI
CRI-003971,,TSINI KICHA,,CRI,LIMON,SIQUIRRES,PACUARITO
CRI-003972,,DOS BOCAS,,CRI,PUNTARENAS,AGUIRRE,SAVEGRE
CRI-003973,,LA GUARIA,,CRI,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO
CRI-003974,,ALTO DE LA PERLA,,CRI,SAN JOSE,PEREZ ZELEDON,BARU
CRI-003975,,PUNTA VANEGAS,,CRI,PUNTARENAS,GOLFITO,PAVON
CRI-003976,,COTO SUR,,CRI,PUNTARENAS,CORREDORES,LAUREL
CRI-003977,,KILOMETRO 27,,CRI,PUNTARENAS,CORREDORES,LAUREL
