geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
ZAF-016067,103316636,SCHOTSCHEKLOOF MOS PRIMARY SCHOOL,"TANABARU STREET, SCHOTSCHEKLOOF ESTATE, CAPE TOWN, CITY OF CAPE TOWN, 8001",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016068,103316725,WESLEY METHODIST PRACTISING SCHOOL,"DURHAM AVENUE, SALT RIVER, , CITY OF CAPE TOWN, 7925",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016069,103316733,ZONNEBLOEM BOYS PRIMARY SCHOOL,"CAMBRIDGE STREET WALMER ESTATE, WALMER ESTATE, , CITY OF CAPE TOWN, 7925",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016070,103316741,ZONNEBLOEM GIRLS PRAC. SCHOOL,"CAMBRIDGE STREET, WALMER ESTATE, , CITY OF CAPE TOWN, 7925",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016071,103322113,FACTRETON PRIMARY SCHOOL,"16TH AVENUE, FACTRETON, MAITLAND-EAST, CITY OF CAPE TOWN, 7405",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016072,103322121,H.J. KRONEBERG JUNIOR PRIMARY SCHOOL,"COR 8 TH AVENUE & NYMAN STREET, MAITLAND EAST, , CITY OF CAPE TOWN, 7405",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016073,103322148,KENMERE PRIMARY SCHOOL,"TENTH AVENUE, KENSINGTON, , CITY OF CAPE TOWN, 7405",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016074,103322156,SUNDERLAND PRIMARY SCHOOL,"SUNDERLAND STREET, FACTRETON, , CITY OF CAPE TOWN, 7405",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016075,103322164,W.D. HENDRICKS PRIMARY SCHOOL,"MUSTANGSTRAAT, UIT ACREWEG, KENSINGTON, CITY OF CAPE TOWN, 7405",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016076,103322172,WINDERMERE PRIMARY SCHOOL,"TENTH AVENUE, KENSINGTON, , CITY OF CAPE TOWN, 7405",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016077,103322180,WINGFIELD PRIMARY SCHOOL,"FACTRETON AVENUE, KENSINGTON, , CITY OF CAPE TOWN, 7405",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016078,103322474,MARCONI BEAM PRIMARY SCHOOL,"DEMOCRACY DRIVE, PHOENIX, MILNERTON, CITY OF CAPE TOWN, 7447",ZAF,Western Cape,METRO NORTH,City of Cape Town Metropolitan Municipality
ZAF-016079,103323810,KENSINGTON SECONDARY SCHOOL,"SUNDERLAND STREET, KENSINGTON, , CITY OF CAPE TOWN, 7405",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016080,103323829,MAITLAND HIGH SCHOOL,"STASIEWEG, MAITLAND, , CITY OF CAPE TOWN, 7405",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016081,103323837,WINDERMERE SEKONDÊR,"BOSTONSTRAAT, FACTRETON, , CITY OF CAPE TOWN, 7405",ZAF,Western Cape,METRO CENTRAL,City of Cape Town Metropolitan Municipality
ZAF-016082,103323918,HARRY GWALA SECONDARY SCHOOL,"HLEHLA STREET, MAKHAZA, KHAYELITSHA, CITY OF CAPE TOWN, 7784",ZAF,Western Cape,METRO EAST,City of Cape Town Metropolitan Municipality
