geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3
PHL-000068,101918,Ambalangan Dalin ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000069,100996,Ambalite ES,,PHL,Region I,La Union,La Union
PHL-000070,100997,Ambangonan ES,,PHL,Region I,La Union,La Union
PHL-000071,100971,Ambaracao Sur Elementary School,,PHL,Region I,La Union,La Union
PHL-000072,100802,Ambitacay ES,,PHL,Region I,La Union,La Union
PHL-000073,101089,Ambitacay ES,,PHL,Region I,La Union,La Union
PHL-000074,101415,Ambonao ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000075,100628,Ambucao Elementary School,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000076,101428,Ambuetel Elementary School,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000077,100513,Ambulogan ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000078,100426,Amguid Elementary School,,PHL,Region I,Candon City,Ilocos Sur
PHL-000079,100327,Amilongan ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000080,101005,Amlang ES,,PHL,Region I,La Union,La Union
PHL-000081,101047,Amontoc ES,,PHL,Region I,La Union,La Union
PHL-000082,100701,Ampuagan ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000083,101946,An-Anonas Elementary School,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000084,100328,Anaao ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000085,101252,Anambongan ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000086,101400,Anapao ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000087,101202,Anda Integrated School,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000088,101592,Andangin-Baracbac ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000089,101117,Anduyan ES,,PHL,Region I,La Union,La Union
PHL-000090,101384,Angarian ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000091,101672,Angatel ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000092,100972,Al-alinao Sur ES,,PHL,Region I,La Union,La Union
PHL-000093,101919,Angio Elementary School,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000094,102078,Annam ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000095,102227,Ano Elementary School,,PHL,Region I,San Carlos City,Pangasinan
PHL-000096,101808,Anolid ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000097,101150,Anonang ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000098,101920,Anonang Elementary School,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000099,100453,Anonang-Naguilian Comm. Sch.,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000100,102286,Anonas East ES,,PHL,Region I,Urdaneta City,Pangasinan
PHL-000101,102285,Anonas Elementary School,,PHL,Region I,Urdaneta City,Pangasinan
PHL-000102,100386,Ansad ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000103,100514,Anteng PS,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000104,100686,Antero P. Hermosura Elementary Sch.,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000105,102236,Antipangol Elementary School,,PHL,Region I,San Carlos City,Pangasinan
PHL-000106,101048,Antonino Memorial ES,,PHL,Region I,La Union,La Union
PHL-000107,101695,Anulid ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000108,100001,Apaleng-Libtong ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000109,100329,Apang ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000110,100387,Apatot Community School,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000111,100873,Apatut ES,,PHL,Region I,La Union,La Union
PHL-000112,102182,Apaya ES,,PHL,Region I,Laoag City,Ilocos Norte
PHL-000113,100330,Apaya ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000114,101555,Apaya ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000115,151502,Aplaya Elementary School,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000116,102237,Aponit Elementary School,,PHL,Region I,San Carlos City,Pangasinan
PHL-000117,101225,Aporao ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000118,100515,Aquib E/S,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000119,101253,Aquilino Banaag ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000120,100874,Ar-arampang Elementary School,,PHL,Region I,La Union,La Union
PHL-000121,100024,Ar-Arusip ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000122,100399,Aragan ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000123,101921,Aramal ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000124,100556,Arangin-Dinaratan ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000125,100496,Arinaya Elementary School,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000126,150001,Aring ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000127,100819,Aringay Central Elem.. School,,PHL,Region I,La Union,La Union
PHL-000128,101719,Ariston Este ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000129,101720,Ariston-Bantog ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000130,100400,Arnap ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000131,101338,Arnedo ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000132,101135,Aroas ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000133,100841,AROSIP ELEMENTARY SCHOOL,,PHL,Region I,La Union,La Union
PHL-000134,101747,Artacho ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000135,102017,Artacho ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000136,101203,Aruab ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000137,101226,Arwas ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000138,101947,Arzadon ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000139,102018,Asan Sur ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000140,100591,Asilang PS,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000141,101533,Asin Este ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000142,101372,Asinan Elementary School,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000143,101721,Asingan North CS,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000144,100251,Asuncion ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000145,101373,Asuncion ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000146,101696,Atainan ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000147,101263,Ataynan ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000148,101458,Atel-Batang ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000149,101931,Awai Elementary School,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000150,101205,Awile ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000151,100957,Ayaoan Elementary School,,PHL,Region I,La Union,La Union
PHL-000152,100427,Ayudante Elementary School,,PHL,Region I,Candon City,Ilocos Sur
PHL-000153,100783,Ayusan-Paoa Elementary School,,PHL,Region I,Vigan City,Ilocos Sur
PHL-000154,100089,Baay ES,,PHL,Region I,Batac City,Ilocos Norte
PHL-000155,101491,Baay ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000156,100463,Bab-asig PS,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000157,100702,Babal-lasioan ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000158,101791,Babasit ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000159,100665,Babayoan ES,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000160,101459,Babuyan ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000161,102128,Bacag Central School,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000162,102129,Bacag East ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000163,102130,Bacag West ES,,PHL,Region I,"Pangasinan II, Binalonan",Pangasinan
PHL-000164,100002,Bacarra CES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000165,102154,Bacayao Sur ES,,PHL,Region I,Dagupan City,Pangasinan
PHL-000166,100908,Baccuit Elementary School,,PHL,Region I,La Union,La Union
PHL-000167,102253,Bacnar Elementary School,,PHL,Region I,San Carlos City,Pangasinan
PHL-000168,101513,Bacnit Integrated School,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000169,101264,Bacnono ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000170,101060,Bacsayan ES,,PHL,Region I,La Union,La Union
PHL-000171,100666,Bacsayan PS,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000172,100592,Bacsil Community School,,PHL,Region I,Ilocos Sur,Ilocos Sur
PHL-000173,100128,Bacsil ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000174,102205,Bacsil ES,,PHL,Region I,Laoag City,Ilocos Norte
PHL-000175,100803,Bacsil ES,,PHL,Region I,La Union,La Union
PHL-000176,100045,Bacsil PS,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000177,100180,Bacsil Elementary School,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000178,102268,Bactad Community School,,PHL,Region I,Urdaneta City,Pangasinan
PHL-000179,102267,Bactad East ES,,PHL,Region I,Urdaneta City,Pangasinan
PHL-000180,151518,Bacundao East ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000181,101534,Bacundao ES,,PHL,Region I,"Pangasinan I, Lingayen",Pangasinan
PHL-000182,101104,Badang ES,,PHL,Region I,La Union,La Union
PHL-000183,100234,Badio ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000184,102269,Badipa ES,,PHL,Region I,Urdaneta City,Pangasinan
PHL-000185,100025,Badoc North Central School,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000186,100026,Badoc South Central School SPED Center,,PHL,Region I,Ilocos Norte,Ilocos Norte
PHL-000187,100428,Bagani Elementary School,,PHL,Region I,Candon City,Ilocos Sur
PHL-000188,100429,Bagani-Tocgo Elementary School,,PHL,Region I,Candon City,Ilocos Sur
PHL-000189,100430,Bagar Elementary School,,PHL,Region I,Candon City,Ilocos Sur
PHL-000190,100274,Bagbag ES,,PHL,Region I,Ilocos Norte,Ilocos Norte
