COD. COLEGIO	 REGIONAL	 PROVINCIA	 DISTRITO	 CORREGIMIENTO	 NOMBRE COLEGIO	ÁREA	PROGRAMAS	 TIPO	APROBADO 1 GRADO HOMBRE	APROBADO 1 GRADO MUJER	APROBADO 2 GRADO HOMBRE	APROBADO 2 GRADO MUJER	APROBADO 3 GRADO HOMBRE	APROBADO 3 GRADO MUJER	APROBADO 4 GRADO HOMBRE	APROBADO 4 GRADO MUJER	APROBADO 5 GRADO HOMBRE	APROBADO 5 GRADO MUJER	APROBADO 6 GRADO HOMBRE	APROBADO 6 GRADO MUJER	REPROBADO 1 GRADO HOMBRE	REPROBADO 1 GRADO MUJER	REPROBADO 2 GRADO HOMBRE	REPROBADO 2 GRADO MUJER	REPROBADO 3 GRADO HOMBRE	REPROBADO 3 GRADO MUJER	REPROBADO 4 GRADO HOMBRE	REPROBADO 4 GRADO MUJER	REPROBADO 5 GRADO HOMBRE	REPROBADO 5 GRADO MUJER	REPROBADO 6 GRADO HOMBRE	REPROBADO 6 GRADO MUJER	DESERTORES 1 GRADO HOMBRE	DESERTORES 1 GRADO MUJER	DESERTORES 2 GRADO HOMBRE	DESERTORES 2 GRADO MUJER	DESERTORES 3 GRADO HOMBRE	DESERTORES 3 GRADO MUJER	DESERTORES 4 GRADO HOMBRE	DESERTORES 4 GRADO MUJER	DESERTORES 5 GRADO HOMBRE	DESERTORES 5 GRADO MUJER	DESERTORES 6 GRADO HOMBRE	DESERTORES 6 GRADO MUJER	DOCENTES	AULAS
175	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	PUNTA LAUREL	CAYO DE AGUA	INDÍGENA	PRIMARIA UNIGRADO	OFICIAL	14	5	12	9	10	9	15	6	11	8	8	4	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6
176	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	PUNTA LAUREL	ISLA TIGRE	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	8	14	9	7	8	12	7	10	11	9	8	7	5	1	1	3	3	4	5	1	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	6	4
177	BOCAS DEL TORO	BOCAS DEL TORO	BOCAS DEL TORO	PUNTA LAUREL	ISLA POPA N°1	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	5	6	7	6	3	7	5	8	5	2	9	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3
208	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	CHANGUINOLA	ESCUELA BILINGÜE FINCA 32	URBANA	PRIMARIA UNIGRADO	OFICIAL	77	78	81	74	51	48	78	68	56	56	59	47	10	7	9	4	5	3	16	4	5	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	31	15
231	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	CHANGUINOLA	C.E.B.G. BILINGÜE FINCA 62	URBANA	PRIMARIA UNIGRADO	OFICIAL	47	44	43	36	36	33	45	32	32	38	25	36	4	0	11	9	1	0	2	1	5	5	0	1	0	0	0	0	1	0	1	1	1	0	0	0	18	19
232	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	COCHIGRÓ	QUEBRADA GUABO	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	5	7	8	9	6	5	7	4	7	11	12	3	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	4
233	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	COCHIGRÓ	ALTO PITA	INDÍGENA	PRIMARIA MULTIGRADO	OFICIAL	2	1	1	0	1	2	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
234	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	COCHIGRÓ	QUEBRADA PUERCO	RURAL	PRIMARIA MULTIGRADO	OFICIAL	7	3	2	3	4	3	4	2	1	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
235	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	EL EMPALME	FINCA 15	URBANA	PRIMARIA UNIGRADO	OFICIAL	60	53	71	63	47	49	52	43	45	49	47	39	0	2	5	3	5	2	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25	12
236	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	CHANGUINOLA	FINCA 66	URBANA	PRIMARIA UNIGRADO	OFICIAL	36	53	27	39	37	25	33	22	36	46	36	24	0	0	1	0	4	1	6	1	1	2	2	1	7	0	0	2	1	0	2	0	1	2	1	1	17	9
238	BOCAS DEL TORO	BOCAS DEL TORO	CHANGUINOLA	COCHIGRÓ	QUEBRADA COCHIGRÓ	RURAL	PRIMARIA MULTIGRADO	OFICIAL	6	5	3	5	3	4	1	2	8	2	5	5	3	1	1	1	0	0	3	2	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	3	4
